"iid","gender","match","samerace","race","goal","dec","attr","intel","prob","met","agediff"
13,1,0,0,4,2,1,10,10,10,2,3
13,1,0,0,4,2,1,10,10,10,NA,1
13,1,0,0,4,2,1,10,10,10,1,1
13,1,0,1,4,2,1,10,10,10,1,1
13,1,0,1,4,2,1,10,10,10,NA,0
13,1,1,0,4,2,1,10,10,10,2,3
13,1,1,0,4,2,1,10,10,10,2,4
13,1,1,0,4,2,1,10,10,10,2,4
14,1,1,0,2,2,1,7,9,7,2,2
14,1,1,1,2,2,1,9,9,7,2,1
14,1,0,1,2,2,1,7,8,7,2,2
14,1,1,1,2,2,1,7,7,10,1,0
14,1,1,1,2,2,1,6,6,7,1,2
14,1,1,0,2,2,1,6,8,7,2,0
14,1,1,0,2,2,1,8,9,7,1,1
14,1,1,1,2,2,1,8,8,7,2,2
14,1,1,0,2,2,1,7,7,7,2,3
14,1,0,1,2,2,1,7,7,7,1,3
15,1,1,0,3,1,1,8,9,6,2,3
15,1,0,0,3,1,1,10,10,1,1,0
15,1,0,0,3,1,1,6,8,1,2,1
15,1,0,0,3,1,1,8,9,7,2,1
15,1,0,0,3,1,0,5,9,7,2,3
15,1,0,0,3,1,1,9,9,2,1,1
15,1,0,0,3,1,1,8,9,4,2,2
15,1,1,0,3,1,1,9,8,7,2,1
15,1,1,0,3,1,1,7,8,8,2,2
15,1,0,0,3,1,1,6,9,6,2,2
16,1,0,0,2,1,1,7,8,6,2,4
16,1,0,1,2,1,1,7,7,5,2,1
16,1,0,1,2,1,1,7,6,7,2,0
16,1,0,1,2,1,1,6,7,6,2,2
16,1,0,1,2,1,0,5,7,7,2,4
16,1,0,0,2,1,1,6,8,6,2,2
16,1,0,0,2,1,1,8,8,7,2,3
16,1,1,1,2,1,1,8,7,6,2,0
16,1,1,0,2,1,1,6,7,5,2,1
16,1,0,1,2,1,0,NA,7,6,2,1
17,1,0,0,2,3,0,3,7,1,2,9
17,1,0,1,2,3,0,5,4,3,2,6
17,1,0,1,2,3,0,6,5,2,2,5
17,1,0,1,2,3,1,7,3,4,2,7
17,1,0,1,2,3,0,2,4,3,2,9
17,1,0,0,2,3,0,5,8,3,2,7
17,1,0,0,2,3,0,7,5,4,2,8
17,1,0,1,2,3,0,6,7,4,2,5
17,1,1,0,2,3,1,8,7,4,2,4
17,1,0,1,2,3,0,7,4,6,2,4
18,1,0,0,2,1,0,6,5,5,2,6
18,1,0,1,2,1,1,7,7,6,2,3
18,1,0,1,2,1,0,4,6,1,2,2
18,1,0,1,2,1,0,6,8,7,2,4
18,1,0,1,2,1,0,5,6,5,2,6
18,1,0,0,2,1,0,6,8,6,2,4
18,1,0,0,2,1,1,8,6,5,2,5
18,1,1,1,2,1,1,9,8,5,2,2
18,1,0,0,2,1,0,7,7,5,2,1
18,1,0,1,2,1,0,6,6,6,2,1
19,1,1,0,2,4,1,7,8,8,2,7
19,1,1,1,2,4,1,8,9,8,2,4
19,1,0,1,2,4,1,7,6,7,2,3
19,1,1,1,2,4,1,7,7,8,2,5
19,1,1,1,2,4,1,5,9,7,2,7
19,1,1,0,2,4,1,6,7,6,2,5
19,1,1,0,2,4,1,9,9,9,2,6
19,1,1,1,2,4,1,8,8,8,2,3
19,1,1,0,2,4,1,6,6,6,2,2
19,1,1,1,2,4,1,7,7,8,2,2
20,1,0,0,2,1,0,6,6,6,2,3
20,1,0,1,2,1,0,6,7,9,2,0
20,1,0,1,2,1,0,5,8,5,2,1
20,1,0,1,2,1,0,7,8,7,2,1
20,1,0,1,2,1,0,3,7,10,2,3
20,1,0,0,2,1,0,7,10,7,2,1
20,1,0,0,2,1,0,7,8,7,2,2
20,1,1,1,2,1,1,8,9,8,2,1
20,1,0,0,2,1,0,5,6,6,2,2
20,1,0,1,2,1,0,6,6,7,2,2
21,0,0,1,4,6,0,6,7,1,1,4
21,0,0,1,4,6,0,5,7,2,2,9
21,0,0,1,4,6,1,8,8,3,NA,2
21,0,0,0,4,6,0,5,8,1,2,3
21,0,0,0,4,6,0,7,8,1,2,3
21,0,0,0,4,6,0,6,8,2,2,7
21,0,0,0,4,6,0,6,8,2,2,5
21,0,0,0,4,6,0,4,7,1,2,9
21,0,0,0,4,6,0,7,7,1,2,1
21,0,0,1,4,6,1,9,10,5,2,4
21,0,0,0,4,6,0,5,7,1,2,6
21,0,0,0,4,6,0,7,6,1,2,2
21,0,0,0,4,6,0,5,8,1,2,0
21,0,0,0,4,6,0,6,7,1,2,7
21,0,0,0,4,6,0,6,7,1,2,7
21,0,0,0,4,6,0,5,9,3,2,2
22,0,0,0,1,1,0,5,7,4,2,2
22,0,0,0,1,1,0,4,6,3,2,3
22,0,0,0,1,1,0,5,6,2,2,4
22,0,0,0,1,1,0,5,7,3,2,3
22,0,1,0,1,1,1,6,8,6,2,3
22,0,1,0,1,1,1,6,7,6,2,1
22,0,0,0,1,1,1,8,7,4,2,1
22,0,0,0,1,1,0,5,7,4,2,3
22,0,0,0,1,1,1,7,7,4,2,5
22,0,0,0,1,1,0,6,7,3,2,2
22,0,0,1,1,1,1,5,7,6,2,0
22,0,0,0,1,1,0,3,5,1,2,4
22,0,0,0,1,1,0,3,7,2,2,6
22,0,0,0,1,1,1,7,8,5,2,1
22,0,0,0,1,1,0,4,5,2,2,1
22,0,0,1,1,1,1,6,7,6,2,4
23,0,0,1,4,1,1,5,6,6,2,4
23,0,0,1,4,1,0,5,7,6,2,9
23,0,0,1,4,1,1,6,7,5,2,2
23,0,1,0,4,1,1,5,8,6,2,3
23,0,1,0,4,1,1,7,7,10,1,3
23,0,1,0,4,1,1,6,7,5,2,7
23,0,0,0,4,1,1,7,7,5,2,5
23,0,0,0,4,1,0,5,7,5,2,9
23,0,0,0,4,1,0,6,6,5,2,1
23,0,0,1,4,1,1,7,6,6,2,4
23,0,0,0,4,1,1,6,7,5,2,6
23,0,0,0,4,1,0,7,5,4,2,2
23,0,0,0,4,1,0,6,5,5,2,0
23,0,0,0,4,1,0,NA,NA,NA,NA,7
23,0,0,0,4,1,0,6,6,4,2,7
23,0,0,0,4,1,0,6,7,5,2,2
24,0,0,0,2,2,0,5,7,3,2,2
24,0,0,0,2,2,0,7,NA,4,2,3
24,0,0,0,2,2,0,6,NA,5,2,4
24,0,0,1,2,2,0,7,8,5,2,3
24,0,0,1,2,2,0,5,8,7,2,3
24,0,0,1,2,2,0,7,8,6,2,1
24,0,0,1,2,2,1,9,7,7,2,1
24,0,0,1,2,2,0,5,7,7,2,3
24,0,0,1,2,2,0,7,7,6,2,5
24,0,0,0,2,2,0,6,NA,5,2,2
24,0,0,0,2,2,0,6,NA,7,2,0
24,0,0,1,2,2,0,6,8,7,2,4
24,0,0,1,2,2,0,4,NA,6,2,6
24,0,0,1,2,2,1,8,NA,7,2,1
24,0,0,1,2,2,0,6,NA,6,2,1
24,0,0,0,2,2,0,8,7,4,2,4
25,0,0,0,2,1,0,7,9,4,2,0
25,0,0,0,2,1,0,5,8,3,2,5
25,0,0,0,2,1,0,6,8,5,2,2
25,0,0,1,2,1,0,4,10,5,2,1
25,0,0,1,2,1,0,6,9,4,2,1
25,0,0,1,2,1,0,6,7,5,2,3
25,0,0,1,2,1,0,7,8,7,2,1
25,0,0,1,2,1,0,3,9,4,2,5
25,0,0,1,2,1,0,7,8,6,2,3
25,0,0,0,2,1,0,8,9,8,2,0
25,0,0,0,2,1,0,9,9,7,2,2
25,0,0,1,2,1,0,6,8,7,2,2
25,0,0,1,2,1,0,5,7,4,2,4
25,0,0,1,2,1,0,7,9,7,2,3
25,0,0,1,2,1,0,5,8,7,2,3
25,0,0,0,2,1,0,7,7,5,2,2
26,0,0,0,2,1,0,2,5,2,2,2
26,0,0,0,2,1,0,2,5,2,2,7
26,0,0,0,2,1,0,2,5,2,2,0
26,0,0,1,2,1,0,2,7,3,2,1
26,0,0,1,2,1,0,3,7,4,2,1
26,0,0,1,2,1,0,4,6,2,2,5
26,0,0,1,2,1,0,7,5,5,2,3
26,0,0,1,2,1,0,3,6,2,2,7
26,0,0,1,2,1,0,6,5,4,2,1
26,0,0,0,2,1,0,5,8,5,2,2
26,0,0,0,2,1,0,7,6,5,2,4
26,0,0,1,2,1,0,6,6,4,2,0
26,0,0,1,2,1,0,2,6,4,2,2
26,0,0,1,2,1,0,6,8,6,2,5
26,0,0,1,2,1,0,2,7,3,2,5
26,0,0,0,2,1,0,6,6,5,2,0
27,0,0,0,3,1,0,2,6,3,2,3
27,0,0,0,3,1,0,1,4,1,2,8
27,0,0,0,3,1,0,1,6,2,2,1
27,0,0,0,3,1,0,1,7,3,1,2
27,0,0,0,3,1,0,1,4,4,2,2
27,0,0,0,3,1,0,3,6,2,2,6
27,0,1,0,3,1,1,8,6,5,2,4
27,0,0,0,3,1,0,1,5,5,2,8
27,0,0,0,3,1,0,4,4,1,2,0
27,0,0,0,3,1,0,4,4,3,2,3
27,0,1,0,3,1,1,6,6,4,2,5
27,0,0,0,3,1,0,1,6,3,2,1
27,0,0,0,3,1,0,1,7,3,2,1
27,0,0,0,3,1,0,6,8,3,2,6
27,0,0,0,3,1,0,2,7,2,2,6
27,0,0,0,3,1,0,5,6,1,2,1
28,0,0,0,2,NA,0,3,6,4,2,1
28,0,0,0,2,NA,0,2,5,2,2,4
28,0,0,0,2,NA,0,3,8,3,2,3
28,0,0,1,2,NA,0,4,5,4.5,2,2
28,0,0,1,2,NA,0,4,7,4,2,2
28,0,0,1,2,NA,0,4,5,3,2,2
28,0,1,1,2,NA,1,7,8,6.5,2,0
28,0,0,1,2,NA,0,4,6,5,2,4
28,0,0,1,2,NA,0,6,5,4,2,4
28,0,0,0,2,NA,0,3,7,3,2,1
28,0,0,0,2,NA,0,5,9,5,2,1
28,0,0,1,2,NA,1,5,6,4.5,2,3
28,0,0,1,2,NA,0,NA,NA,NA,NA,5
28,0,0,1,2,NA,1,6,7,5.5,2,2
28,0,0,1,2,NA,0,4,6.5,4,2,2
28,0,0,0,2,NA,0,4,6,4,2,3
29,0,0,0,2,1,0,4,4,4,2,3
29,0,0,0,2,1,0,4,6,4,2,8
29,0,0,0,2,1,0,6,7,3,2,1
29,0,0,1,2,1,0,5,5,4,NA,2
29,0,1,1,2,1,1,8,7,4,2,2
29,0,1,1,2,1,1,6,7,4,2,6
29,0,0,1,2,1,1,8,6,4,2,4
29,0,0,1,2,1,0,5,6,4,2,8
29,0,0,1,2,1,1,8,8,5,2,0
29,0,0,0,2,1,0,7,6,6,2,3
29,0,0,0,2,1,1,7,7,5,2,5
29,0,0,1,2,1,1,6,7,5,2,1
29,0,0,1,2,1,1,6,8,7,2,1
29,0,0,1,2,1,1,9,8,5,2,6
29,0,0,1,2,1,0,6,6,4,NA,6
29,0,0,0,2,1,1,6,7,6,2,1
30,0,0,0,2,1,0,3,6,5,2,2
30,0,0,0,2,1,0,8,8,5,2,7
30,0,0,0,2,1,0,6,8,6,2,0
30,0,0,1,2,1,0,4,6,5,2,1
30,0,0,1,2,1,0,6,7,4,2,1
30,0,0,1,2,1,0,4,5,3,2,5
30,0,0,1,2,1,0,8,7,6,2,3
30,0,0,1,2,1,0,5,5,6,2,7
30,0,0,1,2,1,0,7,5,7,2,1
30,0,1,0,2,1,1,8,7,7,1,2
30,0,0,0,2,1,1,7,8,4,2,4
30,0,0,1,2,1,0,5,5,4,2,0
30,0,0,1,2,1,0,3,8,7,2,2
30,0,0,1,2,1,1,7,8,6,2,5
30,0,0,1,2,1,0,3,8,5,2,5
30,0,1,0,2,1,1,7,8,5,2,0
31,0,0,0,2,1,0,4,6,4,2,1
31,0,0,0,2,1,0,3,6,NA,2,6
31,0,0,0,2,1,0,4,6,3,NA,1
31,0,0,1,2,1,0,4,6,4,2,0
31,0,0,1,2,1,0,4,7,4,2,0
31,0,0,1,2,1,0,4,7,4,2,4
31,0,0,1,2,1,0,9,7,4,2,2
31,0,0,1,2,1,0,2,4,3,2,6
31,0,1,1,2,1,1,8,8,8,2,2
31,0,1,0,2,1,1,7,8,8,2,1
31,0,1,0,2,1,1,9,8,9,1,3
31,0,0,1,2,1,0,4,5,4,2,1
31,0,0,1,2,1,0,3,8,4,1,3
31,0,0,1,2,1,0,7,7,6,2,4
31,0,0,1,2,1,0,4,6,5,2,4
31,0,1,0,2,1,1,9,7,9,1,1
32,0,0,1,4,1,0,4,7,5,2,2
32,0,0,1,4,1,0,7,9,5,2,3
32,0,0,1,4,1,0,5,6,5,2,4
32,0,0,0,4,1,0,5,7,3,2,3
32,0,0,0,4,1,0,5,9,3,2,3
32,0,0,0,4,1,0,8,9,5,2,1
32,0,0,0,4,1,0,8,8,5,2,1
32,0,0,0,4,1,0,7,8,5,2,3
32,0,0,0,4,1,0,7,7,2,2,5
32,0,0,1,4,1,0,6,9,5,2,2
32,0,0,0,4,1,0,7,8,3,2,0
32,0,0,0,4,1,0,5,7,3,2,4
32,0,0,0,4,1,0,4,6,3,2,6
32,0,0,0,4,1,0,7,9,5,2,1
32,0,0,0,4,1,0,7,9,5,2,1
32,0,0,0,4,1,0,8,7,3,2,4
33,0,0,0,2,6,1,6,7,5,2,5
33,0,0,0,2,6,0,2,7,2,2,0
33,0,0,0,2,6,0,6,6,3,2,7
33,0,0,1,2,6,1,5,7,3,2,6
33,0,0,1,2,6,0,5,6,2,2,6
33,0,0,1,2,6,0,6,7,2,2,2
33,0,0,1,2,6,0,8,9,2,2,4
33,0,0,1,2,6,0,4,6,2,2,0
33,0,0,1,2,6,1,8,6,3,2,8
33,0,0,0,2,6,0,6,8,2,2,5
33,0,0,0,2,6,1,7,7,3,2,3
33,0,0,1,2,6,0,7,9,1,2,7
33,0,0,1,2,6,1,9,8,4,2,9
33,0,0,1,2,6,0,8,5,3,2,2
33,0,0,1,2,6,0,5,5,2,2,2
33,0,0,0,2,6,0,7,6,2,2,7
34,0,0,1,4,1,0,4,5,6,2,4
34,0,0,1,4,1,0,3,7,7,2,9
34,0,0,1,4,1,0,5,5,5,2,2
34,0,0,0,4,1,0,4,6,4,2,3
34,0,0,0,4,1,0,4,5,4,2,3
34,0,0,0,4,1,0,4,6,3,2,7
34,0,1,0,4,1,1,9,9,8,2,5
34,0,0,0,4,1,0,3,5,4,2,9
34,0,0,0,4,1,0,5,3,4,2,1
34,0,1,1,4,1,1,7,8,7,2,4
34,0,0,0,4,1,0,4,6,5,2,6
34,0,0,0,4,1,0,3,4,3,2,2
34,0,0,0,4,1,0,4,5,3,2,0
34,0,0,0,4,1,0,5,6,4,2,7
34,0,0,0,4,1,0,4,6,4,NA,7
34,0,0,0,4,1,0,4,5,3,NA,2
35,0,0,0,2,1,1,6,9,7,2,0
35,0,0,0,2,1,0,5,8,7,2,5
35,0,0,0,2,1,0,6,9,6,2,2
35,0,0,1,2,1,0,6,8,8,2,1
35,0,0,1,2,1,0,5,7,6,2,1
35,0,1,1,2,1,1,7,9,8,2,3
35,0,1,1,2,1,1,8,9,8,2,1
35,0,0,1,2,1,0,5,8,8,2,5
35,0,0,1,2,1,1,8,7,7,2,3
35,0,1,0,2,1,1,7,9,8,2,0
35,0,1,0,2,1,1,6,8,10,2,2
35,0,0,1,2,1,1,8,6,5,2,2
35,0,0,1,2,1,0,6,10,8,2,4
35,0,1,1,2,1,1,8,8,7,2,3
35,0,0,1,2,1,0,6,8,8,2,3
35,0,0,0,2,1,0,6,8,8,2,2
36,0,0,0,2,2,0,2,2,5,2,1
36,0,0,0,2,2,0,1,2,5,2,4
36,0,0,0,2,2,0,2,4,3,2,3
36,0,0,1,2,2,0,1,1,6,2,2
36,0,0,1,2,2,0,1,1,5,NA,2
36,0,0,1,2,2,0,2,5,5,2,2
36,0,0,1,2,2,0,2,4,5,2,0
36,0,0,1,2,2,0,1,5,6,1,4
36,0,0,1,2,2,0,3,2,5,2,4
36,0,1,0,2,2,1,4,8,5,1,1
36,0,0,0,2,2,0,5,8,3,2,1
36,0,1,1,2,2,1,5,6,6,2,3
36,0,0,1,2,2,0,1,5,6,2,5
36,0,0,1,2,2,1,9,8,6,2,2
36,0,0,1,2,2,0,3,6,5,2,2
36,0,0,0,2,2,0,5,8,5,2,3
37,0,0,0,2,2,0,2,5,6,2,2
37,0,0,0,2,2,0,2,6,5,2,3
37,0,0,0,2,2,1,4,6,5,2,4
37,0,0,1,2,2,0,4,8,2,2,3
37,0,1,1,2,2,1,7,8,7,2,3
37,0,0,1,2,2,0,6,7,3,2,1
37,0,0,1,2,2,1,8,9,6,2,1
37,0,0,1,2,2,0,3,7,5,2,3
37,0,0,1,2,2,1,8,6,6,2,5
37,0,0,0,2,2,0,6,5,3,2,2
37,0,0,0,2,2,1,6,6,4,2,0
37,0,0,1,2,2,1,7,7,2,1,4
37,0,1,1,2,2,1,2,6,5,2,6
37,0,0,1,2,2,1,7,7,4,2,1
37,0,0,1,2,2,0,4,4,3,2,1
37,0,0,0,2,2,1,5,6,4,2,4
38,0,0,0,1,1,0,2,10,1,2,2
38,0,0,0,1,1,0,1,10,1,2,7
38,0,0,0,1,1,0,8,10,1,2,0
38,0,0,0,1,1,0,3,10,1,2,1
38,0,0,0,1,1,0,5,7,1,2,1
38,0,0,0,1,1,0,6,8,1,2,5
38,0,0,0,1,1,0,10,6,2,2,3
38,0,0,0,1,1,0,7,7,2,2,7
38,0,0,0,1,1,1,8,5,4,2,1
38,0,1,0,1,1,1,9,9,2,2,2
38,0,1,1,1,1,1,8,8,6,1,4
38,0,0,0,1,1,0,8,9,1,1,0
38,0,0,0,1,1,0,2,9,2,2,2
38,0,0,0,1,1,0,3,9,1,2,5
38,0,0,0,1,1,0,3,9,1,2,5
38,0,1,1,1,1,1,8,8,6,1,0
39,0,0,0,3,5,1,6,9,6,2,1
39,0,0,0,3,5,0,3,9,5,2,6
39,0,0,0,3,5,1,5,9,6,2,1
39,0,0,0,3,5,1,7,8,7,2,0
39,0,0,0,3,5,0,4,7,1,2,0
39,0,0,0,3,5,0,4,7,1,2,4
39,0,0,0,3,5,0,8,9,2,2,2
39,0,1,0,3,5,1,5,8,5,2,6
39,0,0,0,3,5,1,8,6,3,2,2
39,0,0,0,3,5,0,5,7,3,2,1
39,0,0,0,3,5,1,5,8,5,2,3
39,0,0,0,3,5,0,3,8,1,1,1
39,0,0,0,3,5,1,3,9,2,2,3
39,0,0,0,3,5,1,8,9,5,2,4
39,0,0,0,3,5,0,4,8,3,NA,4
39,0,0,0,3,5,0,6,8,3,2,1
40,1,0,1,4,2,0,3,10,1,2,4
40,1,0,0,4,2,0,4,8,1,2,2
40,1,0,1,4,2,0,5,3,1,2,4
40,1,0,0,4,2,0,5,9,3,2,2
40,1,0,0,4,2,0,8,9,1,2,0
40,1,0,0,4,2,0,8,9,1,2,2
40,1,0,0,4,2,0,9,6,2,2,3
40,1,0,0,4,2,0,8,7,2,2,1
40,1,0,0,4,2,0,5,3,NA,2,3
40,1,0,0,4,2,0,6,8,1,2,2
40,1,0,0,4,2,0,7,4,1,2,1
40,1,0,1,4,2,0,8,10,1,2,2
40,1,0,0,4,2,0,6,10,1,2,5
40,1,0,1,4,2,0,8,6,2,2,4
40,1,0,0,4,2,0,5,6,1,2,0
40,1,0,0,4,2,0,5,9,2,2,1
40,1,0,0,4,2,0,4,8,1,2,2
40,1,0,0,4,2,0,8,10,1,2,2
40,1,0,0,4,2,0,3,9,1,2,1
41,1,0,1,4,2,0,5,5,NA,2,9
41,1,0,0,4,2,0,5,5,NA,2,3
41,1,0,1,4,2,0,8,8,NA,2,9
41,1,0,0,4,2,0,5,5,NA,2,3
41,1,0,0,4,2,1,5,5,NA,2,5
41,1,0,0,4,2,1,5,5,NA,2,7
41,1,0,0,4,2,1,8,8,NA,2,8
41,1,0,0,4,2,1,8,8,NA,2,4
41,1,0,0,4,2,0,8,8,NA,2,8
41,1,0,0,4,2,0,10,10,NA,2,7
41,1,0,0,4,2,0,8,8,NA,2,6
41,1,0,1,4,2,0,10,10,NA,2,3
41,1,0,0,4,2,1,10,10,NA,2,0
41,1,0,1,4,2,1,10,10,NA,2,9
41,1,0,0,4,2,0,10,10,NA,2,5
41,1,0,0,4,2,0,5,5,NA,2,4
41,1,0,0,4,2,0,5,5,NA,2,3
41,1,0,0,4,2,0,5,5,NA,2,7
41,1,0,0,4,2,0,5,5,1,2,6
42,1,0,1,4,2,0,3,9,7,2,2
42,1,0,0,4,2,0,3,8,1,2,4
42,1,0,1,4,2,0,6,9,8,2,2
42,1,0,0,4,2,0,7,7,1,2,4
42,1,0,0,4,2,1,8,7,6,2,2
42,1,0,0,4,2,1,7,8,4,2,0
42,1,0,0,4,2,1,8,8,6,2,1
42,1,0,0,4,2,1,7,9,6,2,3
42,1,0,0,4,2,0,3,7,1,2,1
42,1,0,0,4,2,0,4,7,2,2,0
42,1,0,0,4,2,0,8,8,3,2,1
42,1,0,1,4,2,0,5,10,4,2,4
42,1,0,0,4,2,0,6,10,2,2,7
42,1,0,1,4,2,0,6,7,6,2,2
42,1,0,0,4,2,0,3,7,1,2,2
42,1,0,0,4,2,0,4,7,3,2,3
42,1,0,0,4,2,0,4,9,2,2,4
42,1,0,0,4,2,0,6,9,5,2,0
42,1,0,0,4,2,0,4,8,2,2,1
43,1,0,0,2,6,0,4,6,2,2,3
43,1,0,0,2,6,0,4,5,2,2,3
43,1,1,0,2,6,1,4,5,4,1,3
43,1,0,1,2,6,0,5,6,5,2,3
43,1,0,1,2,6,1,8,6,1,2,1
43,1,0,1,2,6,1,6,7,4,2,1
43,1,0,0,2,6,1,7,5,2,2,2
43,1,0,1,2,6,0,5,6,2,2,2
43,1,0,1,2,6,0,4,5,2,2,2
43,1,0,1,2,6,0,3,7,2,2,1
43,1,0,1,2,6,1,6,6,2,2,0
43,1,0,0,2,6,0,5,7,1,2,3
43,1,0,1,2,6,0,4,7,3,2,6
43,1,0,0,2,6,0,6,5,2,2,3
43,1,0,1,2,6,1,7,7,1,2,1
43,1,0,1,2,6,1,6,5,4,2,2
