"idcode","rec","rel","fun","clar","home","class","fac"
176320,0,4,3,3,4,4,4
176320,1,4,5,5,4,4,4
176320,0,3,3,3,3,3,3
176320,0,3,3,3,3,3,4
176321,0,3,4,5,3,4,1
176321,0,3,4,3,5,3,2
176321,1,4,5,4,4,3,2
176321,0,3,4,3,5,2,1
176321,0,4,4,3,4,2,1
176321,0,3,4,3,4,3,2
176321,0,3,4,3,4,3,2
176321,0,3,4,3,4,2,1
176321,0,4,4,3,3,2,1
176321,1,5,5,5,5,4,3
176321,0,3,4,4,4,3,1
176321,0,4,3,3,3,2,1
176321,0,3,4,3,4,2,1
176321,0,3,4,4,4,2,1
176321,0,3,4,3,4,2,1
176321,0,3,5,4,5,3,2
176324,0,3,3,4,4,NA,2
176324,0,4,4,NA,4,NA,3
176324,0,3,4,4,NA,NA,3
176324,0,4,4,4,NA,NA,3
176324,0,3,4,NA,4,3,4
176324,0,4,4,NA,4,NA,3
176324,1,5,4,4,NA,4,4
176324,0,3,4,4,4,4,4
176324,0,4,4,4,4,NA,3
176324,0,3,NA,4,NA,3,3
176324,0,3,4,4,NA,NA,4
176324,0,3,3,4,4,NA,4
176324,0,3,NA,3,4,4,3
176324,1,4,NA,4,4,4,4
176324,0,3,4,4,4,4,3
176324,0,4,4,NA,NA,2,3
176325,0,4,4,3,4,3,3
176325,0,3,4,3,4,3,2
176325,0,3,4,4,5,4,3
176325,0,3,3,3,5,3,3
176325,0,3,4,4,5,2,3
176325,0,3,4,3,4,4,3
176325,0,4,4,3,5,3,4
176325,0,2,4,4,5,3,3
176325,0,4,4,4,3,3,3
176325,0,4,4,4,5,4,4
176325,0,5,4,4,5,4,4
176325,0,3,3,4,5,4,4
176325,0,3,3,3,5,4,3
176325,0,4,4,4,4,3,4
176325,0,3,4,3,5,3,4
176325,0,4,4,4,4,3,3
176326,0,2,3,2,3,2,2
176326,0,2,3,2,3,2,2
176326,0,2,3,2,4,2,2
176326,0,2,3,1,4,2,2
176326,0,2,4,3,3,3,3
176326,0,3,4,1,3,2,2
176326,0,4,3,3,3,3,3
176326,0,2,4,3,3,2,2
176326,0,3,3,4,3,2,3
176326,0,3,4,4,4,3,3
176326,0,4,3,4,3,3,3
176326,0,3,4,3,3,3,3
176326,0,2,4,3,3,3,3
176326,0,3,4,3,4,3,3
176326,0,2,4,2,4,2,2
176326,0,3,3,3,3,3,3
176327,0,2,3,3,3,NA,2
176327,0,1,3,2,1,NA,1
176327,0,1,3,2,3,1,2
176327,0,1,3,3,3,2,2
176327,0,1,2,2,2,1,3
176327,0,2,3,3,3,1,2
176327,1,4,4,3,3,3,3
176327,0,1,3,3,3,3,3
176327,0,3,3,3,3,4,1
176327,0,3,3,3,3,NA,2
176327,1,3,3,4,4,3,3
176327,0,1,2,1,3,2,2
176327,0,1,2,1,3,2,2
176327,0,3,3,2,4,2,2
176327,0,2,3,2,3,2,2
176327,0,3,3,3,2,3,1
176329,0,3,5,3,3,NA,3
176329,0,3,4,2,3,NA,3
176329,0,3,4,3,3,NA,2
176329,0,3,4,2,3,NA,3
176329,1,4,3,2,4,2,3
176329,1,3,4,3,4,2,3
176329,1,4,3,3,NA,NA,3
176329,0,3,3,4,3,NA,3
176329,1,4,4,4,4,3,3
176329,0,4,3,4,3,3,3
176329,1,4,4,4,4,NA,3
176329,1,3,4,3,3,3,3
176329,1,3,4,3,4,3,4
176329,1,5,4,3,4,NA,3
176329,0,3,4,3,3,3,3
176329,1,3,4,3,3,2,3
176330,0,2,3,3,3,3,3
176330,0,4,5,3,5,3,3
176330,0,3,4,4,4,4,3
176330,0,3,3,3,4,3,3
176330,0,3,5,3,3,2,3
176330,0,3,3,2,3,3,2
176330,0,4,4,4,3,3,3
176330,0,3,3,4,4,3,3
176330,0,4,4,4,3,4,4
176330,1,4,4,4,4,4,4
176330,1,4,4,4,4,4,3
176330,0,3,3,2,3,2,3
176330,0,2,4,3,4,3,4
176330,1,4,4,4,5,4,3
176330,0,2,3,3,4,3,3
176330,1,4,4,4,4,4,3
176331,0,3,3,3,3,3,3
176331,0,2,3,2,3,2,NA
176331,0,3,3,3,3,3,2
176331,0,3,3,3,3,3,3
176331,0,3,3,3,4,3,3
176331,0,3,3,2,3,3,3
176331,0,5,3,4,3,3,3
176331,0,2,2,2,3,2,2
176331,1,4,5,4,4,4,4
176331,1,4,4,3,4,3,4
176331,1,5,4,5,4,4,5
176331,0,3,3,3,3,3,3
176331,0,2,4,3,3,3,3
176331,0,4,4,3,3,3,3
176331,0,3,3,3,3,3,3
176331,1,5,4,5,5,4,5
176332,0,3,4,5,NA,3,3
176332,0,4,4,NA,5,4,3
176332,0,3,3,4,4,NA,3
176332,0,3,4,3,5,3,2
176332,0,3,4,3,3,3,2
176332,0,4,4,3,5,3,3
176332,0,4,5,NA,4,4,3
176332,0,4,5,4,4,4,3
176332,0,4,4,5,3,3,2
176332,0,3,4,5,3,3,3
176332,0,4,4,5,4,3,2
176332,0,3,3,3,4,3,2
176332,0,3,4,3,5,3,2
176332,0,4,3,4,5,5,3
176332,0,4,3,4,5,5,3
176332,0,4,4,5,4,3,2
176333,1,3,4,5,4,3,3
176333,0,2,3,3,3,2,2
176333,0,3,4,3,3,3,2
176333,1,3,4,3,4,3,2
176333,0,3,3,2,3,4,2
176333,0,3,3,2,4,2,2
176333,0,4,4,3,3,3,2
176333,0,3,3,4,4,3,2
176333,1,4,4,3,4,4,2
176333,0,3,4,3,4,3,2
176333,1,4,5,4,5,3,2
176333,0,4,3,1,5,2,1
176333,1,5,5,5,4,5,3
176333,0,4,4,3,4,3,2
176333,0,3,3,3,3,4,2
176333,0,4,4,3,3,3,2
176336,0,2,3,2,1,2,3
176336,0,1,2,1,4,2,3
176336,0,2,2,1,3,1,2
176336,0,1,1,1,1,1,3
176336,0,1,1,1,1,1,3
176336,0,2,2,2,4,3,3
176336,0,2,3,2,3,2,3
176336,0,1,2,1,2,1,3
176336,0,2,1,2,2,2,3
176336,1,3,3,4,5,4,3
176336,0,3,3,3,4,2,2
176336,1,3,2,2,3,3,3
176336,0,1,3,2,3,2,3
176336,1,5,4,3,3,4,3
176336,0,2,3,3,3,2,3
176336,0,3,3,3,4,3,3
176337,0,2,3,3,3,2,3
176337,0,2,3,2,3,2,3
176337,1,3,3,4,3,3,3
176337,0,3,4,2,3,2,2
176337,1,4,3,3,5,3,4
176337,0,3,3,3,3,2,2
176337,1,4,3,4,3,3,3
176337,0,2,3,3,3,3,3
176337,1,4,3,5,3,3,3
176337,0,3,3,3,3,3,2
176337,1,3,2,4,3,3,3
176337,1,4,3,4,3,4,2
176337,1,2,3,3,3,3,3
176337,1,4,4,3,4,3,3
176337,0,3,2,2,2,2,2
176337,1,3,4,4,3,3,3
176338,0,2,4,2,5,2,1
176338,0,1,1,1,5,1,1
176338,0,4,4,4,4,4,1
176338,0,2,4,3,4,2,1
176338,0,3,5,3,3,4,1
176338,0,3,3,2,4,2,1
176338,0,5,3,5,3,2,2
176338,0,4,5,4,3,2,2
176338,1,4,3,4,3,2,3
176338,1,5,5,4,3,2,2
176338,1,4,4,5,5,4,3
176338,0,4,4,4,4,2,1
176338,0,2,5,2,4,2,2
176338,0,2,5,2,5,3,1
176338,0,2,5,3,5,3,1
176338,1,4,4,4,5,4,3
176339,1,3,4,5,5,4,3
176339,0,2,5,3,4,NA,3
176339,1,3,3,4,5,NA,3
176339,1,4,5,4,3,3,4
176339,0,3,4,3,3,1,1
176339,0,3,3,1,3,1,1
176339,0,4,3,5,3,NA,2
176339,1,3,3,4,3,4,3
176339,1,4,3,4,3,3,2
176339,0,3,4,4,5,NA,2
176339,1,3,3,5,4,NA,3
176339,0,2,1,1,5,NA,1
176339,1,2,5,3,5,NA,2
176339,1,4,4,3,3,NA,3
176339,0,3,4,3,3,NA,2
176339,0,3,4,5,4,NA,2
176340,0,2,5,3,3,4,1
176340,0,3,5,4,3,3,1
176340,0,3,3,4,3,2,1
176340,0,3,5,5,4,3,2
176340,0,4,5,5,4,3,1
176340,0,4,5,4,4,3,1
176340,0,5,4,4,4,3,2
176340,0,4,4,4,4,2,2
176340,0,3,3,3,2,2,NA
176340,0,3,3,4,4,3,1
176340,0,4,3,3,4,2,1
176340,0,4,5,4,4,3,1
176340,0,3,5,4,3,2,1
176340,0,4,4,4,3,3,2
176340,0,3,3,3,4,2,1
176340,0,3,4,4,4,3,2
176340,0,3,3,4,3,2,1
176340,0,4,5,5,5,4,1
176340,0,2,5,5,3,3,1
176341,0,3,3,3,3,NA,NA
176341,0,3,3,3,3,NA,NA
176341,0,4,4,4,4,NA,NA
176341,0,3,3,3,3,NA,NA
176341,1,3,3,3,3,NA,NA
176341,1,3,3,3,3,NA,NA
176341,1,4,4,4,4,NA,NA
176341,1,4,4,4,4,4,NA
176341,0,4,4,4,4,NA,NA
176341,0,5,5,5,5,NA,NA
176341,0,4,4,4,4,NA,NA
176341,0,5,5,5,5,NA,NA
176341,1,5,5,5,5,NA,NA
176341,1,5,5,5,5,NA,NA
176341,0,5,3,3,3,NA,NA
176341,0,3,3,3,3,NA,NA
176341,0,3,3,3,3,NA,NA
176341,0,3,3,3,3,NA,NA
176341,0,3,3,5,3,NA,1
176345,1,4,4,4,5,3,4
176345,1,4,4,3,3,3,3
176345,1,4,4,3,3,3,4
176345,1,3,3,3,3,3,3
176345,1,4,3,4,3,3,4
176345,1,4,3,4,3,4,4
176345,1,4,4,4,3,4,4
176345,1,4,4,3,3,3,4
176345,1,4,4,4,3,3,4
176345,1,3,3,3,3,3,3
176345,1,5,4,4,4,3,4
176345,1,5,4,4,4,4,4
176345,0,3,3,3,4,3,4
176345,1,4,4,4,4,4,4
176345,1,4,3,3,4,4,4
176345,1,4,4,4,4,4,4
176345,1,3,4,3,3,3,4
176345,1,3,3,5,4,4,4
176345,0,3,4,3,3,3,4
176347,1,5,3,3,3,4,3
176347,1,NA,3,3,3,2,3
176347,1,3,3,3,4,3,3
176347,1,3,3,3,3,3,3
176347,1,3,4,3,3,2,3
176347,1,3,3,3,3,3,3
176347,1,4,3,3,3,3,3
176347,1,3,3,3,4,3,3
176347,0,3,3,3,4,2,3
176347,0,5,3,2,3,2,3
176347,1,4,3,3,4,3,2
176347,1,3,4,3,3,3,3
176347,1,3,3,3,3,2,3
176347,1,3,3,4,4,3,3
176347,1,4,3,3,3,3,2
176347,1,3,3,3,4,3,3
176347,0,NA,2,3,3,2,3
176347,1,3,4,3,3,3,3
176347,1,2,4,3,3,3,3
176348,0,2,4,3,4,2,2
176348,0,3,3,3,NA,2,1
176348,0,3,3,3,2,2,2
176348,0,3,4,3,NA,2,2
176348,1,5,4,4,NA,3,4
176348,1,5,4,5,NA,4,4
176348,1,4,4,3,NA,4,3
176348,0,4,4,3,2,2,2
176348,0,3,4,3,5,2,4
176348,0,3,3,3,NA,2,3
176348,1,4,4,4,NA,NA,3
176348,0,3,3,3,4,2,2
176348,0,3,4,3,NA,2,3
176348,1,4,4,3,3,2,2
176348,0,4,4,3,3,3,3
176348,0,3,4,4,5,3,4
176348,0,2,3,3,3,3,2
176348,0,4,4,4,NA,3,3
176348,0,2,3,3,3,2,2
176349,0,3,4,3,3,3,3
176349,0,4,4,4,4,NA,3
176349,0,4,4,3,4,2,3
176349,1,4,4,3,3,4,3
176349,1,5,4,4,3,3,3
176349,1,5,4,4,4,4,3
176349,1,4,4,4,4,1,3
176349,1,4,4,4,3,NA,3
176349,1,4,4,4,3,3,3
176349,1,4,4,4,4,NA,3
176349,1,5,4,4,5,NA,3
176349,1,4,4,4,4,3,2
176349,1,4,4,4,4,4,3
176349,1,4,4,3,4,3,5
176349,1,4,4,3,3,3,3
176349,1,4,4,4,5,3,3
176349,0,3,4,3,4,2,3
176349,1,4,4,4,4,3,3
176349,0,4,4,4,3,3,3
176350,0,3,4,NA,NA,NA,4
176350,0,3,4,3,NA,NA,4
176350,0,3,NA,3,NA,NA,NA
176350,1,4,NA,5,NA,NA,4
176350,1,4,NA,NA,NA,NA,4
176350,1,4,NA,NA,NA,NA,4
176350,1,4,NA,4,NA,3,4
176350,0,3,4,4,4,3,4
176350,0,3,NA,NA,NA,NA,4
176350,0,3,NA,NA,NA,NA,NA
176350,1,4,4,4,4,NA,4
176350,1,NA,NA,NA,NA,NA,4
176350,0,3,4,4,4,3,4
176350,1,4,4,NA,5,NA,4
176350,1,4,NA,NA,NA,NA,4
176350,0,4,NA,NA,NA,NA,4
176350,0,3,NA,NA,NA,NA,4
176350,1,NA,NA,NA,NA,NA,4
176350,0,NA,NA,NA,NA,NA,NA
176352,0,3,3,3,4,3,2
176352,0,3,3,3,3,3,2
176352,0,4,4,3,3,3,2
176352,0,4,4,3,3,2,2
176352,1,4,4,4,3,3,2
176352,1,4,4,4,3,3,2
176352,1,4,4,3,3,4,2
176352,0,3,3,3,3,3,2
176352,0,3,4,4,3,3,3
176352,0,3,4,3,3,3,3
176352,1,4,4,3,4,3,2
176352,1,3,4,4,3,3,2
176352,0,3,4,3,3,3,2
176352,0,3,3,3,3,3,2
176352,1,4,4,3,3,3,3
176352,1,3,3,4,3,3,2
176352,1,3,4,4,3,3,3
176352,0,4,4,4,4,3,2
176352,0,3,3,3,4,3,2
176354,0,3,4,4,4,3,3
176354,0,3,4,3,3,3,3
176354,1,3,4,4,5,4,3
176354,1,4,4,4,4,4,3
176354,1,4,5,5,4,3,3
176354,1,4,4,4,4,3,3
176354,1,5,5,5,4,4,3
176354,0,4,4,4,4,4,3
176354,0,3,4,4,4,3,3
176354,0,3,4,4,4,3,3
176354,1,4,4,4,4,4,3
176354,1,4,4,4,4,3,3
176354,0,3,4,4,4,4,3
176354,1,4,4,4,4,4,4
176354,1,4,4,4,4,4,3
176354,0,5,4,3,4,3,3
176354,0,3,4,3,4,3,3
176354,0,3,4,4,4,3,2
176354,0,2,4,4,4,3,3
176355,0,3,4,4,5,3,3
176355,0,3,4,4,5,4,4
176355,0,3,5,4,5,4,4
176355,1,4,5,4,4,3,3
176355,1,4,5,5,5,4,3
176355,1,4,5,5,5,4,4
176355,1,5,4,5,5,4,4
176355,1,5,5,5,5,5,4
176355,0,3,4,4,5,3,4
176355,1,4,5,5,5,5,5
176355,1,4,5,5,5,4,5
176355,0,3,4,4,4,4,4
176355,0,3,5,4,4,4,4
176355,1,4,5,5,5,5,5
176355,1,4,4,5,5,4,3
176355,1,3,5,4,5,4,4
176355,0,3,5,4,4,NA,4
176355,1,4,5,5,5,5,5
176355,0,3,5,5,5,5,5
176357,0,4,4,4,4,4,4
176357,0,4,4,4,4,1,3
176357,0,4,3,4,4,4,4
176357,0,5,4,4,5,5,4
176357,1,4,5,5,5,5,4
176357,1,5,5,4,4,4,4
176357,1,5,5,5,5,5,4
176357,1,5,5,5,5,5,4
176357,0,4,5,5,5,5,4
176357,0,4,4,5,5,4,4
176359,0,NA,NA,NA,NA,NA,NA
176359,0,NA,NA,NA,NA,NA,NA
176359,0,2,3,2,5,3,2
176359,0,3,3,3,3,3,4
176359,0,NA,NA,NA,NA,NA,NA
176359,0,NA,NA,NA,NA,NA,NA
176359,0,3,3,1,2,2,3
176359,0,NA,NA,NA,NA,NA,NA
176359,0,1,2,1,3,1,2
176359,0,NA,NA,NA,NA,NA,NA
176363,1,2,4,3,3,2,3
176363,1,4,4,3,3,3,3
176363,1,4,4,3,3,3,2
176363,1,3,4,3,3,3,3
176363,1,3,3,4,4,3,3
176363,0,1,4,2,3,1,1
176363,0,2,4,2,4,1,2
176363,0,3,3,3,4,3,1
176363,0,2,4,4,4,2,3
176363,0,2,4,2,2,2,3
176364,1,4,4,3,4,3,3
176364,1,4,4,3,3,3,3
176364,0,3,3,3,3,2,2
176364,1,4,4,3,3,3,3
176364,0,3,3,3,4,3,2
176364,1,3,3,3,4,3,3
176364,1,3,3,3,3,3,3
176364,1,3,3,3,3,3,2
176364,0,3,3,3,3,3,3
176364,1,4,3,3,4,3,3
176366,1,4,3,4,5,3,3
176366,0,3,4,3,3,3,3
176366,1,3,4,NA,5,4,3
176366,0,3,NA,NA,NA,NA,NA
176366,1,3,4,4,4,3,3
176366,0,2,3,3,3,3,3
176366,1,5,4,4,4,3,3
176366,0,2,3,3,3,3,3
176366,0,3,3,3,3,3,3
176366,1,4,4,4,3,4,4
176367,1,4,4,4,4,3,3
176367,0,3,5,3,3,1,1
176367,0,NA,NA,NA,NA,NA,NA
176367,0,NA,NA,NA,NA,NA,NA
176367,0,3,3,5,4,3,3
176367,0,1,3,3,2,2,3
176367,1,5,5,5,5,5,5
176367,1,3,3,3,3,3,3
176367,0,3,3,3,4,3,3
176367,1,4,3,4,4,4,3
176370,1,4,3,4,4,3,2
176370,0,3,4,3,3,3,2
176370,0,3,3,4,3,4,2
176370,0,NA,NA,NA,NA,NA,NA
176370,0,3,3,4,3,3,2
176370,0,3,4,4,3,3,2
176370,0,4,3,3,3,4,2
176370,0,3,4,4,3,3,2
176370,0,3,3,3,3,3,2
176370,0,4,4,4,4,4,2
176372,1,4,4,3,4,3,4
176372,0,3,4,4,4,4,3
176372,1,3,4,4,3,3,3
176372,0,3,4,2,3,2,2
176372,0,3,4,3,3,3,3
176372,0,3,4,3,3,3,4
176372,1,4,4,4,4,4,3
176372,0,3,4,3,4,3,3
176372,0,3,4,3,4,3,3
176372,0,3,4,4,3,4,4
176373,0,4,4,3,3,3,3
176373,0,3,4,3,3,3,3
176373,0,3,4,3,3,3,3
176373,0,NA,NA,NA,NA,NA,NA
176373,0,3,4,3,4,3,4
176373,0,2,4,2,3,3,2
176373,1,4,4,3,3,3,3
176373,0,3,4,3,4,3,4
176373,0,2,4,3,3,3,1
176373,0,3,4,4,3,3,3
176374,0,4,5,4,5,3,1
176374,0,4,3,4,3,3,2
176374,1,4,4,4,3,5,3
176374,0,4,4,2,2,2,1
176374,0,3,4,4,4,3,1
176374,0,3,5,4,4,4,3
176374,1,5,5,5,4,4,3
176374,0,4,4,4,2,3,2
176374,1,4,4,5,3,4,4
176374,0,4,5,5,3,3,2
176375,1,4,3,4,4,3,3
176375,1,3,4,3,3,3,3
176375,1,4,3,3,4,3,3
176375,0,NA,NA,NA,NA,NA,NA
176375,1,3,3,3,3,3,3
176375,1,3,4,3,3,4,3
176375,1,3,3,3,3,3,3
176375,0,3,3,4,3,3,3
176375,1,3,3,3,3,3,4
176375,1,3,4,4,3,3,4
176376,1,3,3,5,4,NA,3
176376,0,3,3,3,3,NA,2
176376,0,2,5,3,3,NA,2
176376,1,5,4,4,NA,NA,4
176376,0,2,5,2,NA,NA,2
176376,1,3,4,3,4,NA,2
176376,0,1,5,NA,NA,NA,1
176376,0,1,5,NA,NA,NA,2
176376,0,1,NA,1,NA,2,2
176376,0,3,NA,NA,5,NA,2
176376,0,2,2,3,NA,NA,2
176376,1,3,4,4,NA,NA,3
176376,1,3,4,3,3,NA,3
176376,1,4,3,5,NA,4,3
176376,1,3,3,3,4,4,3
176376,1,3,3,5,4,NA,3
176376,1,3,3,4,3,NA,3
176376,1,2,4,NA,NA,NA,3
176378,0,3,2,2,5,2,1
176378,0,2,3,3,5,3,1
176378,0,2,3,2,5,2,2
176378,0,5,3,NA,NA,2,1
176378,0,4,5,2,5,2,2
176378,1,4,5,5,NA,5,2
176378,0,2,5,3,NA,NA,1
176378,0,2,5,2,5,2,2
176378,0,2,4,NA,NA,4,2
176378,1,3,5,NA,NA,NA,2
176378,0,5,3,5,5,3,1
176378,1,4,5,4,5,4,1
176378,1,3,5,NA,NA,NA,1
176378,1,5,5,5,5,5,1
176378,0,4,3,2,2,2,1
176378,1,4,5,3,5,3,2
176378,0,2,2,2,NA,4,1
176378,0,3,3,NA,5,NA,2
176380,0,1,NA,4,NA,4,3
176380,0,4,5,4,5,4,4
176380,0,3,4,4,4,4,4
176380,1,4,4,4,NA,4,4
176380,0,3,4,3,3,3,3
176380,1,4,4,4,4,4,2
176380,0,3,4,4,4,4,4
176380,0,3,4,3,4,3,4
176380,1,4,4,4,4,5,4
176380,1,4,4,4,4,4,4
176380,1,4,4,3,4,4,4
176380,1,4,4,5,4,4,4
176380,0,4,5,4,4,NA,3
176380,0,3,5,4,5,4,5
176380,1,4,4,4,4,4,4
176380,1,4,4,4,4,4,4
176380,0,3,NA,4,4,4,4
176380,0,4,5,4,5,4,4
176381,0,2,5,4,5,3,4
176381,0,2,4,3,4,3,4
176381,0,2,3,3,4,3,3
176381,0,4,4,4,4,3,3
176381,0,4,3,3,3,2,2
176381,1,4,4,4,5,4,4
176381,0,2,4,3,4,3,4
176381,0,2,4,2,5,2,2
176381,0,2,4,1,4,1,3
176381,0,3,5,3,4,3,4
176381,1,3,4,4,3,4,4
176381,0,5,5,4,2,4,4
176381,0,3,5,5,4,2,2
176381,0,2,4,4,3,3,5
176381,1,4,4,4,4,4,5
176381,0,3,5,4,4,4,4
176381,0,3,3,3,4,3,2
176381,0,3,5,3,4,3,4
176383,0,3,3,3,5,4,2
176383,0,3,3,4,4,4,3
176383,0,3,4,3,4,3,2
176383,0,4,3,4,4,3,3
176383,0,3,3,3,3,3,2
176383,1,4,4,4,4,4,3
176383,0,3,4,3,3,2,2
176383,0,3,4,4,4,3,2
176383,0,3,4,3,4,3,2
176383,0,4,4,4,4,4,3
176383,0,4,4,3,3,3,2
176383,0,3,5,4,4,4,2
176383,0,3,4,4,4,4,2
176383,1,4,4,4,3,4,2
176383,0,3,4,3,4,3,3
176383,0,3,4,5,3,4,2
176383,0,3,4,3,4,3,2
176383,0,3,4,4,4,4,2
176384,0,1,3,5,1,2,2
176384,0,3,4,3,3,3,3
176384,0,3,4,3,3,3,3
176384,0,3,3,3,4,2,2
176384,0,3,4,2,2,2,3
176384,1,4,3,4,3,4,3
176384,0,2,3,3,4,3,3
176384,0,2,4,2,2,3,3
176384,0,3,3,2,4,2,2
176384,0,3,3,3,3,3,3
176384,0,3,2,3,3,2,1
176384,1,3,3,4,4,3,3
176384,0,3,3,3,3,3,3
176384,0,3,4,3,4,3,4
176384,1,3,1,4,4,3,4
176384,0,3,3,3,3,3,1
176384,0,3,3,3,5,3,1
176384,0,2,3,3,3,3,3
176385,0,3,1,1,5,1,2
176385,0,3,3,3,3,2,3
176385,0,3,3,3,3,2,2
176385,1,4,4,4,3,3,4
176385,0,4,4,1,1,1,3
176385,1,4,4,3,3,3,3
176385,0,3,4,3,4,2,3
176385,0,3,4,3,4,2,3
176385,0,3,4,3,3,2,3
176385,0,4,4,3,3,2,3
176385,1,4,4,4,5,3,3
176385,0,4,4,3,3,2,3
176385,0,3,4,3,4,2,3
176385,1,4,3,3,3,3,3
176385,0,3,3,3,3,1,3
176385,0,3,4,3,3,2,3
176385,0,3,3,4,3,2,3
176385,0,3,3,2,3,1,3
176387,0,2,2,1,1,1,3
176387,0,2,2,2,2,1,3
176387,0,2,3,3,4,3,4
176387,0,2,3,3,4,2,3
176387,0,2,4,3,5,4,3
176387,1,4,4,4,4,4,4
176387,0,2,5,3,5,3,5
176387,0,1,2,2,3,1,4
176387,0,2,2,3,3,2,4
176387,0,2,3,3,4,1,3
176387,0,2,2,3,3,2,3
176387,0,1,3,4,5,3,3
176387,0,2,3,3,4,2,3
176387,1,4,5,5,4,4,4
176387,0,4,5,3,4,3,5
176387,0,2,3,4,4,3,3
176387,0,3,2,4,3,2,4
176387,0,2,3,4,4,2,4
176393,0,3,3,4,4,3,3
176393,1,4,4,4,4,4,3
176393,0,4,4,3,3,3,3
176393,1,4,4,4,NA,NA,3
176393,0,3,3,3,3,3,3
176393,1,4,3,4,4,3,NA
176393,1,4,4,4,4,4,3
176393,0,4,3,3,4,3,3
176393,0,3,4,3,4,3,3
176393,1,4,4,4,4,4,3
176393,1,4,4,4,4,4,3
176393,0,4,4,4,4,3,3
176393,0,4,4,4,4,4,3
176393,0,4,4,4,4,3,3
176393,0,4,4,4,4,3,3
176393,0,4,4,3,4,3,3
176393,0,4,4,3,3,3,3
176393,1,4,4,4,4,4,4
176394,1,3,3,4,4,3,4
176394,1,4,4,4,4,3,4
176394,0,4,3,3,3,2,2
176394,0,4,4,4,3,5,3
176394,0,3,4,4,4,3,3
176394,1,5,4,4,4,3,3
176394,1,5,5,4,3,3,4
