"promoted","sales","customer_rate","performance"
1,613,3.8,"3"
1,559,4.2,"1"
0,640,3.87,"3"
0,640,2.75,"3"
1,695,3.55,"4"
0,313,2.52,"2"
0,640,3.76,"2"
1,695,3.11,"3"
1,504,4.33,"1"
1,913,3.21,"3"
0,804,2.47,"1"
0,450,1.51,"1"
0,640,3.53,"3"
0,831,4.63,"2"
0,640,3.37,"1"
1,531,4.08,"2"
0,586,3.16,"4"
0,586,3.76,"1"
0,586,3.07,"2"
0,586,3.87,"3"
0,695,3.62,"3"
0,749,3.46,"3"
1,504,2.49,"4"
0,531,2.22,"1"
0,777,4.98,"2"
0,450,3.05,"3"
0,640,4.47,"1"
1,613,1.9,"2"
1,559,5,"4"
0,586,3.46,"2"
0,668,2.29,"1"
0,640,4.54,"3"
0,613,4.06,"3"
0,559,3.37,"4"
0,777,4.77,"4"
1,940,5,"2"
1,695,4.43,"3"
0,940,4.93,"4"
1,668,4.03,"4"
1,395,3.05,"3"
0,695,4.49,"2"
0,722,3.87,"3"
0,668,4.13,"2"
1,668,3.05,"3"
1,886,5,"4"
0,722,3.9,"1"
1,940,3.92,"4"
0,395,3.53,"3"
0,722,4.68,"2"
0,559,3.51,"2"
0,613,2.03,"2"
0,477,3.71,"3"
1,940,5,"3"
0,259,2.72,"2"
0,504,5,"3"
1,749,4.24,"2"
0,668,3.51,"3"
0,531,3.23,"1"
1,586,4.47,"3"
0,640,2.43,"3"
1,886,2.7,"3"
0,695,4.98,"2"
0,504,3,"3"
0,531,2.89,"2"
0,749,3.41,"1"
0,722,4.38,"2"
0,695,5,"3"
0,804,5,"3"
0,341,2.7,"2"
1,777,4.95,"3"
0,395,2.54,"2"
1,313,2.7,"3"
1,749,3.78,"2"
1,777,4.24,"3"
1,668,3.78,"3"
0,504,4.01,"3"
0,422,4.82,"1"
1,831,4.17,"4"
0,504,1.67,"4"
0,559,3.05,"2"
0,640,2.54,"3"
1,940,3.69,"3"
0,695,2.91,"1"
0,804,5,"2"
0,559,2.93,"1"
1,886,2.26,"4"
1,722,4.86,"3"
0,722,4.84,"3"
0,858,3.94,"4"
1,613,2.66,"4"
1,613,4.06,"3"
0,422,1.94,"2"
1,586,4.63,"3"
0,777,3.14,"1"
1,586,4.56,"4"
1,477,4.98,"2"
0,749,4.24,"3"
0,504,2.2,"2"
1,477,4.17,"2"
0,940,2.2,"3"
1,722,4.15,"4"
0,668,4.15,"2"
0,640,4.01,"2"
1,559,4.56,"4"
1,586,4.49,"3"
1,640,3.44,"3"
0,477,3.05,"1"
0,613,3.83,"1"
0,613,2.79,"2"
0,586,2.75,"1"
0,531,2.03,"3"
0,395,4.2,"3"
0,531,4.72,"1"
1,559,3.39,"3"
0,940,4.08,"3"
1,749,3.83,"3"
1,777,2.7,"1"
0,613,3.44,"1"
1,586,3.97,"1"
1,504,1.83,"3"
0,749,4.47,"2"
0,722,4.56,"3"
0,940,4.43,"3"
0,586,4.86,"2"
0,640,5,"2"
1,831,3.85,"2"
0,531,2.77,"2"
0,640,3.39,"3"
1,777,1.37,"4"
0,940,3.05,"1"
0,831,4.86,"2"
0,722,2.98,"2"
0,586,3.85,"3"
0,749,3.83,"3"
1,695,4.89,"2"
1,559,1.97,"2"
1,559,3.14,"2"
0,777,4.31,"3"
0,259,2.52,"1"
1,886,3.51,"3"
0,559,2.54,"1"
0,559,2.47,"2"
0,695,2.36,"3"
0,450,3.21,"4"
1,695,3.09,"3"
0,559,2.08,"3"
1,940,2.82,"3"
1,695,3.55,"3"
0,722,3.85,"3"
0,586,3.57,"1"
0,749,2.86,"2"
0,749,3.44,"4"
0,858,5,"2"
0,804,3.34,"4"
1,668,3.99,"3"
0,749,4.06,"2"
1,940,3.21,"4"
1,668,4.17,"2"
0,531,2.72,"1"
0,668,3.8,"3"
0,940,3.78,"2"
1,477,3.74,"2"
0,613,2.86,"3"
0,722,4.45,"2"
1,695,4.89,"2"
0,722,5,"2"
0,531,2.26,"2"
0,531,2.66,"2"
0,477,4.03,"3"
1,858,2.63,"3"
0,395,3.51,"2"
1,913,4.15,"1"
1,749,4.08,"2"
1,722,2.56,"3"
0,586,3.34,"2"
0,804,5,"4"
0,395,3.87,"2"
0,422,1,"1"
0,150,2.31,"2"
0,668,3.34,"2"
0,613,3.25,"1"
0,368,4.1,"2"
1,586,3.09,"4"
1,559,4.77,"2"
0,504,3.62,"3"
0,695,4.86,"1"
0,450,3,"1"
0,940,4.79,"2"
0,858,3.41,"4"
1,858,4.68,"3"
0,640,5,"4"
1,640,4.03,"4"
0,368,3.69,"2"
0,477,1.85,"3"
0,804,4.2,"3"
1,804,5,"4"
0,531,2.38,"1"
1,804,3.99,"3"
0,450,3.25,"1"
0,804,2.89,"3"
0,640,3.28,"4"
0,559,2.98,"3"
1,395,3.23,"1"
0,531,3.09,"2"
0,777,3.41,"3"
0,341,1.69,"2"
1,640,3.76,"3"
1,504,2.75,"4"
1,858,5,"2"
0,940,4.75,"3"
0,804,4.59,"2"
0,559,1.83,"3"
0,695,4.29,"2"
0,695,3.69,"2"
0,450,2.66,"2"
1,804,3.9,"1"
0,422,2.61,"4"
0,804,3.9,"3"
0,531,3.41,"2"
1,831,3.67,"3"
0,422,1.99,"3"
0,613,1.37,"3"
1,640,2.38,"1"
1,749,4.72,"3"
0,368,3.48,"2"
1,450,3.6,"3"
0,695,3.18,"1"
0,940,4.77,"3"
0,695,4.03,"3"
1,940,4.22,"4"
0,613,4.1,"2"
0,422,3.64,"1"
0,668,2.29,"1"
0,858,3.55,"1"
0,559,2.66,"3"
0,858,3.48,"1"
0,777,2.89,"1"
1,668,3.57,"2"
0,804,4.36,"3"
0,586,2.79,"4"
1,586,3.6,"2"
0,695,3.39,"4"
0,341,3.32,"2"
0,668,3.41,"1"
0,504,3.69,"3"
1,749,3.71,"3"
1,749,4.31,"1"
0,804,4.61,"3"
1,695,4.33,"4"
0,913,4.7,"1"
0,395,3.57,"3"
0,586,2.01,"3"
1,722,3.14,"1"
0,313,3.05,"2"
0,831,4.72,"2"
0,613,5,"2"
0,531,5,"2"
0,749,4.86,"3"
1,940,5,"4"
0,940,4.38,"4"
1,749,5,"3"
1,559,5,"3"
0,695,2.82,"3"
0,940,3.41,"2"
0,613,1.6,"3"
0,777,4.17,"2"
0,531,2.54,"1"
