"annual_income_ppp","average_wk_hrs","education_months","region","job_type","gender","family_size","work_distance","languages"
87233,54,40,"Latin America and the Caribbean","Unskilled","F",2,NA,NA
86790,54,40,"Latin America and the Caribbean","Unskilled","F",2,NA,NA
86347,44,40,"Latin America and the Caribbean","Unskilled","F",2,NA,NA
85904,44,40,"Latin America and the Caribbean","Unskilled","F",2,NA,NA
85462,44,40,"Latin America and the Caribbean","Unskilled","F",2,NA,NA
91441,37,241,"Latin America and the Caribbean","Unskilled","M",NA,4,1
91219,37,241,"Latin America and the Caribbean","Unskilled","M",3,3,1
90776,37,241,"Latin America and the Caribbean","Unskilled","M",3,3,1
90555,38,239,"Latin America and the Caribbean","Unskilled","M",3,0,1
90112,54,238,"Latin America and the Caribbean","Unskilled","M",3,3,1
89669,38,235,"Latin America and the Caribbean","Unskilled","M",4,3,1
89890,38,231,"Latin America and the Caribbean","Unskilled","M",4,0,1
89447,38,229,"Latin America and the Caribbean","Unskilled","M",4,0,1
88119,39,229,"Latin America and the Caribbean","Unskilled","M",4,0,1
89004,39,227,"Latin America and the Caribbean","Unskilled","M",4,0,1
88341,39,229,"Latin America and the Caribbean","Unskilled","M",4,3,1
87898,39,229,"Latin America and the Caribbean","Unskilled","M",4,3,1
86569,39,230,"Latin America and the Caribbean","Unskilled","M",5,0,1
86569,39,229,"Latin America and the Caribbean","Unskilled","M",5,0,1
86347,40,221,"Latin America and the Caribbean","Unskilled","M",5,0,1
86569,40,214,"Latin America and the Caribbean","Unskilled","M",5,0,1
88119,39,187,"Western Asia","Unskilled","M",NA,0,1
87676,40,187,"Western Asia","Unskilled","M",2,0,1
87233,40,187,"Western Asia","Unskilled","M",2,0,1
87233,40,187,"Western Asia","Unskilled","M",2,0,1
86126,40,187,"Western Asia","Unskilled","M",2,0,1
85241,41,183,"Western Asia","Unskilled","M",2,0,1
84798,54,178,"Western Asia","Unskilled","M",2,0,1
84576,54,183,"Western Asia","Unskilled","M",2,0,1
85241,41,176,"Western Asia","Unskilled","M",2,0,1
83912,41,170,"Western Asia","Unskilled","M",2,0,1
84133,41,166,"Western Asia","Unskilled","M",3,0,1
84133,41,166,"Western Asia","Unskilled","M",3,0,1
83468,41,165,"Western Asia","Unskilled","M",3,0,1
83247,41,165,"Western Asia","Unskilled","M",3,0,1
83247,42,169,"Western Asia","Unskilled","M",3,0,1
81919,42,170,"Western Asia","Unskilled","M",3,0,1
105834,36,277,"Australia and New Zealand","Skilled","M",NA,2,1
105613,36,277,"Australia and New Zealand","Skilled","M",5,0,1
105170,36,275,"Australia and New Zealand","Skilled","M",5,2,1
104728,36,273,"Australia and New Zealand","Skilled","M",5,2,1
104063,37,270,"Australia and New Zealand","Skilled","M",5,0,1
103842,37,266,"Australia and New Zealand","Skilled","M",5,0,1
103399,37,261,"Australia and New Zealand","Skilled","M",5,0,1
102513,37,261,"Australia and New Zealand","Skilled","M",5,0,1
102513,37,260,"Australia and New Zealand","Skilled","M",5,0,1
102291,37,275,"Australia and New Zealand","Skilled","M",5,0,1
101848,38,275,"Australia and New Zealand","Skilled","M",5,0,1
112921,53,280,"Australia and New Zealand","Skilled","M",5,0,1
106277,54,279,"Australia and New Zealand","Skilled","M",5,0,1
99412,38,273,"Australia and New Zealand","Skilled","M",5,0,1
99412,38,278,"Australia and New Zealand","Skilled","M",5,0,1
98526,38,277,"Australia and New Zealand","Skilled","M",5,0,1
102956,39,224,"Western Europe","Skilled","M",NA,1,1
102734,39,224,"Western Europe","Skilled","M",6,1,1
102069,39,222,"Western Europe","Skilled","M",6,1,1
117350,39,222,"Western Europe","Skilled","M",6,1,1
117350,39,222,"Western Europe","Skilled","M",1,1,1
108491,39,219,"Western Europe","Skilled","M",6,0,1
104063,39,217,"Western Europe","Skilled","M",6,1,1
108491,40,215,"Western Europe","Skilled","M",1,1,1
101848,40,216,"Western Europe","Skilled","M",1,1,1
99191,40,214,"Western Europe","Skilled","M",1,1,1
98306,40,213,"Western Europe","Skilled","M",1,1,1
98084,40,210,"Western Europe","Skilled","M",1,1,1
96977,40,210,"Western Europe","Skilled","M",1,1,1
96755,41,227,"Western Europe","Skilled","M",1,0,1
96534,54,220,"Western Europe","Skilled","M",0,0,1
95426,54,219,"Western Europe","Skilled","M",1,0,1
83468,40,187,"Western Asia","Unskilled","M",NA,1,1
83025,40,181,"Western Asia","Unskilled","M",4,0,1
82361,54,178,"Western Asia","Unskilled","M",3,0,1
81697,41,177,"Western Asia","Unskilled","M",3,1,1
81033,41,176,"Western Asia","Unskilled","M",3,0,1
79925,41,176,"Western Asia","Unskilled","M",3,0,1
95206,42,174,"Western Asia","Unskilled","M",3,1,1
84133,42,174,"Western Asia","Unskilled","M",2,0,1
84133,42,174,"Western Asia","Unskilled","M",3,0,1
75719,42,164,"Western Asia","Unskilled","M",3,0,1
73946,42,170,"Western Asia","Unskilled","M",4,0,1
73946,43,168,"Western Asia","Unskilled","M",4,0,1
72617,43,165,"Western Asia","Unskilled","M",4,0,1
72617,43,163,"Western Asia","Unskilled","M",2,0,1
71954,43,161,"Western Asia","Unskilled","M",2,0,1
69960,43,157,"Western Asia","Unskilled","M",3,0,1
90998,37,186,"Latin America and the Caribbean","Unskilled","M",NA,NA,NA
89447,37,186,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
88119,37,186,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
88341,37,186,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
88562,37,186,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
88562,38,186,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
87676,53,186,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
87455,54,186,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
87233,38,185,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
86790,38,184,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
86569,38,184,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
85904,39,183,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
84576,39,181,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
84355,39,180,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
83912,39,180,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
83247,40,179,"Latin America and the Caribbean","Unskilled","F",3,NA,NA
92769,37,208,"Western Asia","Unskilled","M",NA,NA,NA
92547,37,208,"Western Asia","Unskilled","M",3,NA,NA
92326,37,208,"Western Asia","Unskilled","M",3,NA,NA
91884,38,208,"Western Asia","Unskilled","M",2,NA,NA
90998,53,207,"Western Asia","Unskilled","M",2,NA,NA
90998,54,207,"Western Asia","Unskilled","M",2,NA,NA
90776,38,207,"Western Asia","Unskilled","M",2,NA,NA
90333,38,207,"Western Asia","Unskilled","M",2,NA,NA
89890,39,207,"Western Asia","Unskilled","M",2,NA,NA
89669,39,205,"Western Asia","Unskilled","M",2,NA,NA
89226,39,202,"Western Asia","Unskilled","M",2,NA,NA
89004,39,201,"Western Asia","Unskilled","M",2,NA,NA
88562,39,199,"Western Asia","Unskilled","M",2,NA,NA
88341,39,197,"Western Asia","Unskilled","M",2,NA,NA
87898,39,194,"Western Asia","Unskilled","M",2,NA,NA
87455,40,193,"Western Asia","Unskilled","M",2,NA,NA
81476,50,158,"Southern Asia","Unskilled","M",NA,0,1
80590,50,156,"Southern Asia","Unskilled","M",1,1,1
79704,50,156,"Southern Asia","Unskilled","M",1,13,1
92990,51,155,"Southern Asia","Unskilled","M",2,1,1
84133,51,149,"Southern Asia","Unskilled","M",2,12,1
77268,51,143,"Southern Asia","Unskilled","M",2,1,1
76382,51,137,"Southern Asia","Unskilled","M",2,0,1
75497,51,140,"Southern Asia","Unskilled","M",1,1,1
74389,51,140,"Southern Asia","Unskilled","M",1,12,1
73503,52,137,"Southern Asia","Unskilled","M",1,0,1
72617,52,135,"Southern Asia","Unskilled","F",1,1,1
71511,52,134,"Southern Asia","Unskilled","F",1,1,1
70403,52,132,"Southern Asia","Unskilled","F",1,0,1
69297,52,129,"Southern Asia","Unskilled","F",1,0,1
68189,55,127,"Southern Asia","Unskilled","F",1,0,1
67082,55,125,"Southern Asia","Unskilled","F",1,11,1
89669,40,217,"Latin America and the Caribbean","Unskilled","M",NA,NA,NA
89447,40,217,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
89004,40,217,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
88783,40,217,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
88341,40,220,"Latin America and the Caribbean","Unskilled","M",4,NA,NA
87898,54,223,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
87676,41,220,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
87233,41,217,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
86790,41,214,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
86569,42,212,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
86126,42,209,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
85904,42,207,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
85683,42,205,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
85241,42,202,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
85019,43,202,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
84798,43,202,"Latin America and the Caribbean","Unskilled","M",3,NA,NA
82582,37,221,"Eastern Europe","Unskilled","M",NA,1,1
81919,37,222,"Eastern Europe","Unskilled","M",3,1,1
81254,38,222,"Eastern Europe","Unskilled","M",4,1,1
81697,54,221,"Eastern Europe","Unskilled","M",3,1,1
81919,38,220,"Eastern Europe","Unskilled","M",3,1,1
84133,38,220,"Eastern Europe","Unskilled","M",3,0,1
77490,38,219,"Eastern Europe","Unskilled","M",4,0,1
77490,38,215,"Eastern Europe","Unskilled","M",3,1,1
77047,39,213,"Eastern Europe","Unskilled","M",4,0,1
75054,39,209,"Eastern Europe","Unskilled","M",4,0,1
73282,39,207,"Eastern Europe","Unskilled","M",4,1,1
73503,39,203,"Eastern Europe","Unskilled","M",4,0,1
72397,39,201,"Eastern Europe","Unskilled","M",4,1,1
71289,39,198,"Eastern Europe","Unskilled","M",4,1,1
72397,39,194,"Eastern Europe","Unskilled","M",4,1,1
73060,40,192,"Eastern Europe","Unskilled","M",3,0,1
102069,37,232,"Western Europe","Skilled","M",NA,1,1
119564,37,229,"Western Europe","Skilled","M",1,0,1
115135,37,229,"Western Europe","Skilled","M",1,1,1
106277,37,228,"Western Europe","Skilled","M",1,1,1
106277,37,227,"Western Europe","Skilled","M",1,0,1
99634,37,224,"Western Europe","Skilled","M",0,0,1
99191,37,223,"Western Europe","Skilled","M",1,0,1
98526,38,223,"Western Europe","Skilled","M",5,0,1
98526,53,223,"Western Europe","Skilled","M",5,0,1
98306,53,222,"Western Europe","Skilled","M",5,0,1
97198,54,222,"Western Europe","Skilled","M",5,0,1
96977,38,258,"Western Europe","Skilled","M",5,0,1
95869,38,256,"Western Europe","Skilled","M",5,0,1
95206,38,258,"Western Europe","Skilled","M",5,0,1
95206,38,251,"Western Europe","Skilled","M",5,0,1
94320,38,249,"Western Europe","Skilled","M",5,0,1
79704,54,188,"Latin America and the Caribbean","Unskilled","M",NA,0,1
77490,54,188,"Latin America and the Caribbean","Unskilled","M",3,0,1
77047,41,190,"Latin America and the Caribbean","Unskilled","M",3,0,1
76161,41,185,"Latin America and the Caribbean","Unskilled","M",3,0,1
76161,41,184,"Latin America and the Caribbean","Unskilled","M",3,0,1
76382,42,184,"Latin America and the Caribbean","Unskilled","M",3,0,1
76382,42,187,"Latin America and the Caribbean","Unskilled","M",3,0,1
76604,42,188,"Latin America and the Caribbean","Unskilled","M",3,0,1
76604,42,188,"Latin America and the Caribbean","Unskilled","M",3,0,1
76161,42,183,"Latin America and the Caribbean","Unskilled","M",2,0,1
75276,43,188,"Latin America and the Caribbean","Unskilled","M",2,0,1
74611,43,185,"Latin America and the Caribbean","Unskilled","M",2,0,1
73946,43,181,"Latin America and the Caribbean","Unskilled","M",2,0,1
74168,43,178,"Latin America and the Caribbean","Unskilled","M",2,0,1
73503,43,177,"Latin America and the Caribbean","Unskilled","M",2,0,1
73725,54,176,"Latin America and the Caribbean","Unskilled","M",2,0,1
55345,48,164,"Sub-Saharan Africa","Unskilled","F",NA,0,1
54681,48,164,"Sub-Saharan Africa","Unskilled","F",3,0,1
54238,48,159,"Sub-Saharan Africa","Unskilled","F",3,0,1
53795,48,156,"Sub-Saharan Africa","Unskilled","F",3,0,1
53352,49,154,"Sub-Saharan Africa","Unskilled","F",3,0,1
52467,49,150,"Sub-Saharan Africa","Unskilled","F",3,1,1
51802,49,148,"Sub-Saharan Africa","Unskilled","F",2,0,1
50030,49,146,"Sub-Saharan Africa","Unskilled","F",2,1,1
48924,49,143,"Sub-Saharan Africa","Unskilled","F",2,1,1
48259,49,141,"Sub-Saharan Africa","Unskilled","F",3,1,1
47594,55,139,"Sub-Saharan Africa","Unskilled","F",3,1,1
46708,55,134,"Sub-Saharan Africa","Unskilled","F",2,0,1
46045,50,129,"Sub-Saharan Africa","Unskilled","F",3,0,1
45602,50,125,"Sub-Saharan Africa","Unskilled","F",2,1,1
45380,50,117,"Sub-Saharan Africa","Unskilled","F",3,0,1
45159,50,114,"Sub-Saharan Africa","Unskilled","F",2,1,1
77047,48,185,"Southern Asia","Unskilled","M",NA,0,1
76161,49,185,"Southern Asia","Unskilled","M",2,0,1
75497,49,186,"Southern Asia","Unskilled","M",2,0,1
74611,49,183,"Southern Asia","Unskilled","M",2,0,1
73725,49,178,"Southern Asia","Unskilled","M",3,0,1
72839,55,172,"Southern Asia","Unskilled","F",3,0,1
71732,50,166,"Southern Asia","Unskilled","F",4,0,1
70846,50,162,"Southern Asia","Unskilled","F",4,0,1
69739,50,157,"Southern Asia","Unskilled","F",3,0,1
68189,50,151,"Southern Asia","Unskilled","F",3,0,1
66417,51,147,"Southern Asia","Unskilled","F",3,0,1
64646,51,142,"Southern Asia","Unskilled","F",2,0,1
62653,51,137,"Southern Asia","Unskilled","F",3,0,1
60881,51,133,"Southern Asia","Unskilled","F",4,0,1
59110,51,128,"Southern Asia","Unskilled","F",3,0,1
59774,51,125,"Southern Asia","Unskilled","F",4,0,1
67968,44,186,"Sub-Saharan Africa","Unskilled","M",NA,0,1
66639,45,186,"Sub-Saharan Africa","Unskilled","M",3,0,1
64646,45,186,"Sub-Saharan Africa","Unskilled","M",3,0,1
62874,45,185,"Sub-Saharan Africa","Unskilled","M",3,0,1
60217,45,184,"Sub-Saharan Africa","Unskilled","M",3,0,1
57781,45,183,"Sub-Saharan Africa","Unskilled","M",3,0,1
53573,45,181,"Sub-Saharan Africa","Unskilled","M",4,0,1
49810,45,180,"Sub-Saharan Africa","Unskilled","M",3,0,1
48481,46,180,"Sub-Saharan Africa","Unskilled","M",3,0,1
43830,46,178,"Sub-Saharan Africa","Unskilled","M",3,0,1
36965,46,178,"Sub-Saharan Africa","Unskilled","M",3,0,1
28993,46,177,"Sub-Saharan Africa","Unskilled","M",3,0,1
25229,46,177,"Sub-Saharan Africa","Unskilled","M",3,0,1
24343,46,178,"Sub-Saharan Africa","Unskilled","M",4,0,1
25893,54,177,"Sub-Saharan Africa","Unskilled","M",3,0,1
28329,47,176,"Sub-Saharan Africa","Unskilled","M",3,0,1
88562,39,216,"Latin America and the Caribbean","Unskilled","M",NA,0,1
88119,39,216,"Latin America and the Caribbean","Unskilled","M",5,2,1
87898,40,205,"Latin America and the Caribbean","Unskilled","M",5,0,1
87455,40,205,"Latin America and the Caribbean","Unskilled","M",5,0,1
86569,40,202,"Latin America and the Caribbean","Unskilled","M",5,16,2
85904,40,200,"Latin America and the Caribbean","Unskilled","M",5,16,2
85462,41,200,"Latin America and the Caribbean","Unskilled","M",5,16,2
85019,54,194,"Latin America and the Caribbean","Unskilled","M",5,2,1
84798,41,197,"Latin America and the Caribbean","Unskilled","M",5,2,1
84133,41,200,"Latin America and the Caribbean","Unskilled","M",5,2,1
83468,41,200,"Latin America and the Caribbean","Unskilled","M",5,15,2
81919,42,202,"Latin America and the Caribbean","Unskilled","M",4,15,2
81476,42,212,"Latin America and the Caribbean","Unskilled","M",4,15,2
80590,42,209,"Latin America and the Caribbean","Unskilled","M",4,0,1
79704,42,206,"Latin America and the Caribbean","Unskilled","M",4,0,1
88562,43,203,"Latin America and the Caribbean","Unskilled","M",4,14,2
94541,43,213,"South-eastern Asia","Unskilled","M",NA,NA,NA
94320,54,214,"South-eastern Asia","Unskilled","M",1,NA,NA
93212,44,213,"South-eastern Asia","Unskilled","M",1,NA,NA
95869,44,207,"South-eastern Asia","Unskilled","M",1,NA,NA
93877,45,203,"South-eastern Asia","Unskilled","M",1,NA,NA
92769,45,205,"South-eastern Asia","Unskilled","M",1,NA,NA
92547,45,203,"South-eastern Asia","Unskilled","M",1,NA,NA
93434,45,205,"South-eastern Asia","Unskilled","M",1,NA,NA
90776,46,206,"South-eastern Asia","Unskilled","M",1,NA,NA
91441,46,206,"South-eastern Asia","Unskilled","M",1,NA,NA
91219,46,203,"South-eastern Asia","Unskilled","M",1,NA,NA
91662,55,199,"South-eastern Asia","Unskilled","M",2,NA,NA
90776,47,195,"South-eastern Asia","Unskilled","M",2,NA,NA
88119,47,194,"South-eastern Asia","Unskilled","M",2,NA,NA
87898,48,195,"South-eastern Asia","Unskilled","M",2,NA,NA
87233,48,195,"South-eastern Asia","Unskilled","M",2,NA,NA
87455,36,214,"Eastern Europe","Skilled","M",NA,1,1
87012,36,212,"Eastern Europe","Skilled","M",5,1,1
86569,37,207,"Eastern Europe","Skilled","M",4,1,1
86126,37,206,"Eastern Europe","Skilled","M",4,0,1
85683,37,205,"Eastern Europe","Skilled","M",4,1,1
85019,37,201,"Eastern Europe","Skilled","M",4,1,1
84576,37,200,"Eastern Europe","Skilled","M",4,1,1
83912,38,200,"Eastern Europe","Skilled","M",4,1,1
83247,53,197,"Eastern Europe","Skilled","M",4,1,1
82361,54,197,"Eastern Europe","Skilled","M",4,0,1
82140,38,197,"Eastern Europe","Skilled","M",4,1,1
82361,38,194,"Eastern Europe","Skilled","M",4,0,1
81919,38,190,"Eastern Europe","Skilled","M",4,1,1
81476,38,190,"Eastern Europe","Skilled","M",4,1,1
81033,39,190,"Eastern Europe","Skilled","M",4,0,1
79925,39,190,"Eastern Europe","Skilled","M",4,0,1
55124,50,129,"Sub-Saharan Africa","Unskilled","F",NA,0,1
53795,50,129,"Sub-Saharan Africa","Unskilled","F",3,1,1
53130,50,127,"Sub-Saharan Africa","Unskilled","F",3,0,1
52245,50,123,"Sub-Saharan Africa","Unskilled","F",3,1,1
51138,50,118,"Sub-Saharan Africa","Unskilled","F",3,0,1
49810,51,113,"Sub-Saharan Africa","Unskilled","F",4,0,1
48481,51,108,"Sub-Saharan Africa","Unskilled","F",4,0,1
46708,51,103,"Sub-Saharan Africa","Unskilled","F",4,1,1
44937,51,97,"Sub-Saharan Africa","Unskilled","F",4,0,1
42723,51,94,"Sub-Saharan Africa","Unskilled","F",4,1,1
40508,51,90,"Sub-Saharan Africa","Unskilled","F",4,0,1
38515,51,85,"Sub-Saharan Africa","Unskilled","F",4,0,1
36744,52,84,"Sub-Saharan Africa","Unskilled","F",3,1,1
35415,52,82,"Sub-Saharan Africa","Unskilled","F",3,0,1
46488,52,81,"Sub-Saharan Africa","Unskilled","F",3,1,1
35415,52,79,"Sub-Saharan Africa","Unskilled","F",3,0,1
54459,50,163,"Sub-Saharan Africa","Unskilled","F",NA,0,1
53352,50,163,"Sub-Saharan Africa","Unskilled","F",4,0,1
52245,50,162,"Sub-Saharan Africa","Unskilled","F",5,0,1
50916,50,159,"Sub-Saharan Africa","Unskilled","F",5,0,1
49588,51,155,"Sub-Saharan Africa","Unskilled","F",5,0,1
48259,51,148,"Sub-Saharan Africa","Unskilled","F",5,0,1
46930,51,140,"Sub-Saharan Africa","Unskilled","F",4,0,1
44937,51,132,"Sub-Saharan Africa","Unskilled","F",4,1,1
43830,51,123,"Sub-Saharan Africa","Unskilled","F",1,1,1
42280,51,108,"Sub-Saharan Africa","Unskilled","F",7,1,1
40730,51,105,"Sub-Saharan Africa","Unskilled","F",6,1,1
38959,51,100,"Sub-Saharan Africa","Unskilled","F",4,1,1
37408,51,94,"Sub-Saharan Africa","Unskilled","F",3,1,1
36523,52,91,"Sub-Saharan Africa","Unskilled","F",3,1,1
36080,52,92,"Sub-Saharan Africa","Unskilled","F",3,1,1
50916,52,92,"Sub-Saharan Africa","Unskilled","F",3,0,1
84798,46,197,"Sub-Saharan Africa","Unskilled","M",NA,0,1
84133,54,197,"Sub-Saharan Africa","Unskilled","M",3,0,1
83690,47,198,"Sub-Saharan Africa","Unskilled","M",2,0,1
83468,47,193,"Sub-Saharan Africa","Unskilled","M",3,0,1
83247,47,192,"Sub-Saharan Africa","Unskilled","M",3,0,1
83025,47,187,"Sub-Saharan Africa","Unskilled","M",3,0,1
82804,48,184,"Sub-Saharan Africa","Unskilled","M",2,0,1
82804,48,181,"Sub-Saharan Africa","Unskilled","M",2,0,1
82582,48,178,"Sub-Saharan Africa","Unskilled","M",2,0,1
82140,48,178,"Sub-Saharan Africa","Unskilled","M",3,0,1
81476,48,170,"Sub-Saharan Africa","Unskilled","M",3,0,1
80590,49,169,"Sub-Saharan Africa","Unskilled","M",3,0,1
79925,49,171,"Sub-Saharan Africa","Unskilled","M",3,0,1
92990,49,171,"Sub-Saharan Africa","Unskilled","M",3,0,1
84133,49,168,"Sub-Saharan Africa","Unskilled","M",3,0,1
77268,49,171,"Sub-Saharan Africa","Unskilled","F",3,0,1
74611,50,166,"South-eastern Asia","Unskilled","M",NA,1,1
73725,50,166,"South-eastern Asia","Unskilled","M",3,0,1
72617,50,165,"South-eastern Asia","Unskilled","M",3,0,1
71732,50,164,"South-eastern Asia","Unskilled","M",3,1,1
70846,50,164,"South-eastern Asia","Unskilled","M",3,1,1
69960,51,163,"South-eastern Asia","Unskilled","M",3,0,1
68854,51,162,"South-eastern Asia","Unskilled","M",4,0,1
67746,51,162,"South-eastern Asia","Unskilled","M",3,0,1
66417,51,159,"South-eastern Asia","Unskilled","F",2,1,1
64424,51,157,"South-eastern Asia","Unskilled","F",2,1,1
61767,51,156,"South-eastern Asia","Unskilled","F",3,0,1
58667,51,152,"South-eastern Asia","Unskilled","F",4,0,1
61989,52,148,"South-eastern Asia","Unskilled","F",4,1,1
53795,52,135,"South-eastern Asia","Unskilled","F",3,1,1
52024,52,128,"South-eastern Asia","Unskilled","F",3,0,1
50252,52,123,"South-eastern Asia","Unskilled","F",3,1,1
49367,47,161,"Sub-Saharan Africa","Unskilled","M",NA,2,1
48038,47,161,"Sub-Saharan Africa","Unskilled","M",2,0,1
47373,47,161,"Sub-Saharan Africa","Unskilled","M",2,2,1
46266,47,161,"Sub-Saharan Africa","Unskilled","F",2,0,1
45602,48,156,"Sub-Saharan Africa","Unskilled","F",2,0,1
44937,48,152,"Sub-Saharan Africa","Unskilled","F",3,0,1
