"iid","gender","department","level","sentiment","intention"
"2d4db18ad0a38f533238a532c13e3fd8","F","Finance","Low",6,4
"9b48750a7fb844988da948c15633cb59","M","Strategy & Operations","Low",7,5
"6fc67a80754a3825c440b1a7017430b3","M","HR","High",9,3
"d84f9498134953af90cb78cebb17e891","M","Sales/Marketing","Medium",10,3
"5bec48bf39bd0bbb6db307becaf576c0","F","Finance","Medium",10,4
"85bee351e145b578d9bada1c31f89889","F","IT","Low",8,4
"30ae1b9538f3195b2c1edf8714a5a431","M","R&D","Low",4,6
"989af00972ba5ed0af73c170a7206780","F","Finance","Low",7,7
"5db33a9194fb53e047372147ef59f372","M","HR","Low",8,3
"a8361c0fb4cbe5f8891e7353aa47622a","M","Finance","Low",7,2
"7e421440b91e9e9e714984eb6fb1fc0c","M","HR","Medium",7,4
"6a6027dfdc3a0da3c57fd34dc7fb73a7","M","Finance","High",8,3
"81378dafc5bb477640f41c2239260549","M","HR","Low",9,1
"6623874c340c38876875275e972b579d","M","IT","Low",8,4
"271843ef32021753d386263beaa54a9d","M","HR","Low",7,3
"70163bd3949dcdbb9d63a490cd5174a6","M","HR","Low",8,5
"1b847e842c3d4b98930b68b7a98dad9a","M","HR","Low",5,3
"99e4d505d92bd0bb5b86e9ab5e63623d","M","Finance","Low",9,1
"c1118d8c9c66d1deb14cd0ba2f970b1c","F","Finance","Low",8,4
"ee26a25165c614b54044669f96e54816","M","Finance","Low",8,8
"9e1866bca7080d6276e712f12d29a478","M","Strategy & Operations","Low",8,2
"48ed072b6d68ca5a2e32d5f4ec5391d2","M","HR","Medium",5,6
"d2639c93db9213e215dc9b2a8963a220","M","HR","Low",7,3
"5e333ba73286c0e2a75090eb2b430e28","M","HR","High",9,4
"717b7f1e034d9844e376b0751fcd7cac","M","HR","Low",8,5
"f61e655d7c221cb698cc1e8a8b6ab265","F","HR","Low",7,7
"3b1a3c474ece4809824c22095b21d62f","F","HR","Low",8,8
"1871daf0052d526fa0058688e500d854","F","Finance","Medium",9,6
"64c60fbabf3998645e0782604c8cf796","F","R&D","Low",7,2
"0a3428179bea8734896ef17555892773","M","Sales/Marketing","Low",4,3
"4ecf015fbab3ec8cc30cab535a913e4e","F","HR","Low",7,6
"865c40f24ecd1ea803798062038d3dc1","M","HR","Low",8,4
"d5532c85007a7f5cfada44a8de9bb462","M","HR","Low",8,5
"853ceded07c1a3b883ba82cc9e890e22","M","Finance","Low",7,4
"d49e213ce65b0e18e2da1456a50cbf11","M","HR","Low",10,3
"f113bec38dabc826133079389ec85629","F","Finance","Medium",8,2
"02c55d3f9cfad8f3ce04ae74a43d7159","M","Strategy & Operations","Low",7,6
"f2788bd0666cc70e5bc332f3f7b0976b","M","HR","Low",9,3
"6ae8cff9cde18efa606d92278b01a0c2","M","HR","Low",7,1
"c9cebda87945d12101a613af683b32be","M","HR","Medium",10,2
"20347de8d6f78917d9964cc24dbb1f62","M","Sales/Marketing","Low",8,3
"8981d1c710599fabee76d907765c46b8","F","IT","Low",10,2
"e01c49e669514fae5859e780c51e3e3e","M","Sales/Marketing","Medium",8,3
"66a2487c228f87b68513c74de43d136a","M","IT","Low",8,4
"d78f42f7ac1253884c58dc6998fc9dea","M","HR","Low",4,4
"4aad24d1319f2aa788dc9153364a960c","F","HR","Medium",8,3
"ead1e1f554cebf88673285760065a015","M","R&D","Medium",8,2
"423faf1e78745bd5aa0ccd8939ba2bb8","F","Sales/Marketing","Low",4,4
"81a988ef73926aad271ebc3f3bf6aadf","F","IT","Medium",4,6
"7ea458facf955bdfccb1f1d29f7f69f0","F","HR","High",7,5
"0a9296a04919e67b623578c6d12e9136","F","Strategy & Operations","Medium",7,6
"43c5a9bf0c2b07478ace7afffa842af6","M","Finance","Low",8,2
"6b664c5b69a74d8b952ff0f0f026ed00","F","Sales/Marketing","Low",8,2
"b19fda9089445e18a9a119300edcdba7","M","Finance","Medium",7,5
"1efb94452f3e4dd2d9ec12b64e86413d","F","Finance","Low",7,2
"ce69844c5095ce9f855c4e5ee30c8295","F","Finance","Low",7,6
"63b3fc80a81c100a585772c576aab3d6","M","R&D","Low",7,2
"26de821021e9047b2ba36cedd97ba5b1","M","Sales/Marketing","Low",8,2
"75ff88e438a64b260241f68e65bb8a38","M","Finance","Low",3,5
"bd662866a55b3bbe2d28816958e63af1","F","Finance","High",8,1
"292aec182d13ef39dbe377b37497c785","F","Finance","Low",7,3
"b1069958c1d4d3be04b2008e67a8f2a0","F","IT","Medium",8,4
"860d819261da742c888b3d1694f71850","M","Finance","Medium",5,6
"c15c67c728f6f0ea3d8eb7b3185e10b1","F","Strategy & Operations","Low",8,6
"628654abb30ab99ef744b73b36efca64","M","HR","Low",7,6
"886d4befccc6e638da9e70ee09e4639c","F","HR","Low",8,10
"d3002951044dd64ee932c8e48bb570db","F","Sales/Marketing","High",8,4
"f39db6069fd21257b5f8decfb04a2571","M","Strategy & Operations","Low",10,3
"b24cd41ad1f7399122f50a5fbf17add3","F","HR","Medium",9,4
"ad048a877155e008a2c749f1c9746b62","M","HR","Low",8,2
"410e24256db88389f52198283f3609cb","M","Finance","Low",4,7
"3c90ad6ab4f179c0c91eb33e487ab2bb","F","Finance","High",9,7
"e155fefa3759d67193354eaf8d6d8ee8","M","Finance","High",7,7
"a4492f1ecf454bf171ba342a23ba92e5","F","Finance","Medium",4,7
"3a4f0126fb934a10e7a584556b725725","M","IT","Low",6,1
"bfa8e64ea8e879b52a7b6c4a2dc1a9e5","M","HR","Medium",8,3
"e86032c25ae25f6e8a73a5ee3ef29843","M","IT","Medium",8,3
"a0b9cdce3f0ebd0fc0832f03ee66e81f","M","Finance","Low",7,2
"59bfb1c6c1b8a87ce654ff7bba225981","M","Finance","Low",7,8
"b98d9a1dbcdf203da49ad512ed3e1bc6","M","Strategy & Operations","Low",7,7
"9c428db26773c5185cf513f9d4f78e71","F","Sales/Marketing","Low",8,5
"cef5c62011d251feaab3c9d653686dbd","M","Finance","Low",8,3
"fbadba1f3a4415aa51deb6b82530c0be","M","Finance","High",4,7
"f6f9eb097d9f417e8b4c1d8988c2d679","M","HR","Low",8,4
"797f3e9b82d1d8cc7df73692cf2ad6cd","F","Finance","Low",6,4
"9fb99dee8d6b1001ff2d67ddc257c4c9","M","HR","High",7,2
"000f283ae687d31152703a54636492cc","M","Finance","Low",10,5
"109e8043b78e5217c8c4c57346534c6c","M","Finance","Low",8,3
"26553ef085d2d30ceed2cfe7d46966f6","M","IT","Low",8,3
"a8a603207a94ca18d4d3e590478e3be3","M","IT","Medium",8,4
"a4457bc6def6e5148c33ed1d6566e446","M","HR","Medium",5,4
"6c148184699ab453a9cc0758e5dafaee","M","HR","Medium",8,3
"1ba6e74873ad5a0971f5d530db79fe6d","M","HR","Medium",9,2
"c1dac9ec457b17590612021cdd3ce857","M","Finance","Low",7,7
"bcd71cbeb18a317da476b30420ad5f8d","M","Finance","Low",9,3
"75724110e8e61c51caee4acd509ae4ac","F","R&D","Low",6,6
"d80568dc4b4dd46555e7c8c8a648fa9d","M","HR","Low",8,2
"9a10bbe86acad7ca6ed77afc12699703","M","Finance","Low",10,2
"db7a3cf846776b727f13aab67a30beee","F","Finance","Low",10,5
"7b3b00348264c189d0619f00e603b891","M","HR","Low",7,8
"239a19b3fbd9f675bdfe2f96b56fbf71","F","Finance","Low",9,4
"7c99e5bcb56decd53169e75918527275","M","Finance","Low",8,4
"47a1c68c1922017e82daf547e2f1bf06","F","HR","High",7,4
"42db4d0b0dc023bd31c4e95af63b03d5","M","Sales/Marketing","Low",6,4
"98f4b05ef9fa8c3373741d02053d0f75","M","Strategy & Operations","Medium",10,3
"7df491f8b2fd58728de9bcac4cf14526","M","HR","Low",8,7
"c30180a20431bd512ca5b641eee413f7","M","IT","High",7,5
"8ac0f9549c3ace3e4b5fce653cae23b1","M","IT","Low",8,2
"872ebdcade983b6c6a86f44f7a1824c0","M","R&D","High",8,4
"c4656d92f57486baa9187bc8fc97f4c2","M","R&D","Low",8,5
"97f92a8acc5e81bae1d03903853c945c","M","HR","Low",10,2
"fe6b75851a020c5d60b5b79d28a6781d","M","Finance","Low",9,3
"eb8716e44127c6c69c9796d22744aafb","F","Finance","Low",7,3
"ea788e58615aea9a73ccc1cd339c9b48","M","HR","Low",10,4
"8fe73c3931bfbac50ef0dd384bc0c4d4","M","Finance","Medium",7,3
"29050a7e1e2b1fe5d6a9a24bdc59ed86","M","Sales/Marketing","High",8,3
"7e1bd9a9476bfbdbb5e6a4f8c1347c4d","M","Finance","Medium",8,2
"70de697a6e9a44bc71f8fa955a2117f6","M","HR","Low",10,2
"c2bb704f76a2176d42d9f83ffc68a5d4","F","Strategy & Operations","Medium",8,6
"e63424ec662aa39024ef793484ff553e","M","IT","Low",4,8
"123dd5492c075814afa406da8c1f9286","F","Finance","Low",3,5
"6cd7fbf42376e3e571f9a98ebd590246","M","HR","High",8,3
"743fa4a070647b249ae8b80f82379a97","F","Finance","Low",4,1
"54deb292d97928c7f6317391ddaebdaa","F","IT","Low",8,8
"3d1324a42875bbb974c96795e9597d8b","M","IT","Low",7,8
"0ec40b32b9e9384825411fd1a2bb0eb4","M","IT","Medium",4,7
"d3760b2b75b744eba16f025c54506fbc","M","Finance","Low",7,5
"b586d857ad1a50aa9a05e6921abd6969","M","HR","Medium",8,9
"743041dc2ff3483660c09f3bcc2d8590","F","HR","Low",7,2
"5c31f3e6465eba3139e55c851131b7f6","M","IT","Low",10,2
"0dbaede2227aaac04b4c743cfb3f3f3e","M","HR","Low",7,2
"1701afa401ac7b6a3f1556ec03b103b4","M","Finance","High",8,3
"4486dcd3141f2dcd81f15e93742c0d0d","M","IT","Low",6,2
"54a5ae2bac30d56fd23468417b58d5d1","M","Finance","Low",8,4
"dd2c75d15c842804441d53d94e5b4eb3","F","HR","Low",9,4
"183a939af445aedb1fac4ae17ec70426","M","R&D","High",4,9
"f292ea088b5da2f2f084ce17f9e9edf2","M","Sales/Marketing","Low",8,3
"722770c5e8acf5295562d969e3a13ff8","M","Sales/Marketing","Low",10,3
"99e50dbad96215fa7040e94a45ee3ecd","M","HR","Low",8,4
"56178d3b12f702f27eaafa0334d95eaf","M","Finance","High",9,4
"f83562b5f1698f14df0e89b5434c7419","M","R&D","Low",7,4
"276a1d049406c3e29bf3e447e544b9ce","F","R&D","Low",10,1
"378bb557b6be0d4d3f021b826c002869","M","Sales/Marketing","Medium",7,7
"76d435898c310178f9e3f29082168529","M","Finance","High",10,3
"b5ab6e240e1485b38d286c84e04ad326","M","Finance","Low",7,5
"588f39fb9dd2c7f6094d1af2fc8de87c","F","Finance","Low",8,8
"486d93410c7e2e78c4360eb3aa3db59a","M","IT","Low",1,10
"d53f64adec1f2cbb10ebff1fa3f30011","M","HR","Low",3,4
"08cb6ce1b6e9cb9975bb40867360f5ff","F","Finance","Low",8,4
"d961974046313c19fcba7ca1cda89080","F","IT","Low",7,7
"a75b115a0fd4e0ba31bbff070ca1eec5","M","HR","Medium",8,4
"4d109019862d4d035ceea7e545174672","M","Finance","Low",3,6
"8a0af3c3089e286386c4db216df8f296","M","Finance","Low",7,7
"82f5aa061d4c49c0f127d9dc5dd1441e","M","Sales/Marketing","Low",9,3
"f3bc414b528c824422dcd19fd88d6bc1","M","IT","High",8,3
"4b03f58b67dcedb389ef61b8c1fbd3fe","F","HR","Low",7,10
"d5ec4595dd3ca91101f6fa5c207db156","M","Finance","Low",8,3
"90d2e31101a715b93884651454b2e9eb","M","Finance","Low",7,3
"b8df58b816e0685018fc13972313d775","F","IT","Low",3,4
"f4c63f3ef5470f7edcc6c91ddbb6b870","M","HR","High",8,3
"0f083f7b7ec09bc23dc33bea48691b67","M","HR","Low",10,7
"b90935891a4aa3cbfeb101bfa47bd893","M","Finance","Low",4,6
"36a0e351213ab92d955cd79f43b03e94","F","HR","Low",8,1
"d71382aeb5724bd9435f8bd84dd93934","M","Finance","Low",10,2
"98c1f7aa059b6a20b0596f78cb8d4f40","F","HR","Low",9,3
"a4c495b4ae9161c31d5e0979b0f6691b","F","Finance","Low",2,10
"c27acf9a9503556a1c2089d362756db6","M","HR","Medium",8,7
"908a2f57f16ec82811102222f6670d31","M","IT","Medium",1,9
"270eb1b3e8143e1e3fe85fa2fb073602","M","HR","Low",8,3
"fa567358843e439e003500de333a25a2","M","IT","Low",6,4
"680c88515a1be01c253fe430e28dd9f8","M","Sales/Marketing","Low",6,4
"8086b2a3691b5f7d6010a4cff15ca684","F","HR","Medium",3,1
"2f9ec5e5d9746c0a335788981e94c180","M","IT","Low",7,2
"2b04cfd7e5b014403de15788540ce5ad","F","Finance","Low",8,4
"f98efaa3967194844c8950b6c55486e6","F","HR","Medium",8,3
"68499ffaacc5144d64cc2ceea28e269c","M","IT","Medium",8,6
"a33818b89ec152ab9bf378a2e5f0cbee","M","IT","Low",10,1
"95432bef21414425d9b101e3043203e0","F","IT","Low",9,1
"eac6153e282da98bdedb3eac59d3ebb9","M","Finance","High",7,3
"1517c2d49e0af4f7510622fcb6119547","M","HR","Low",8,1
"72109fe87b99e303d215e87c3d6c3271","F","R&D","Medium",7,8
"30b3f803484d4f1f1262c015d614ccf3","F","Finance","Low",7,3
"eef6ffa7669a0f9f93254251a25ff531","M","HR","Low",6,3
"5acf3e079ad24e63d0a8b34114c15b80","M","Finance","Low",8,4
"5ea601ce573d85f43252dd68810001d7","M","HR","Medium",8,2
"71fce23e2d6e5d7634b18f965ef9ebc8","M","IT","Low",7,4
"6f156129633c7ba4ba78641782c0412f","M","HR","Low",7,2
"208edb2d8aad392c2888a8b46fcd2a14","M","IT","Medium",10,3
"80afa79dd40751af59634c379cadf082","M","HR","Low",8,3
"01904f608de589f8224515b6e4d60db8","M","Finance","Low",8,3
"7bca36eafc9ad875b2d7a499d09e2637","F","HR","Low",7,4
"e6fde94b3ccfe16eb6ed5ae54cdf79a9","F","Finance","Medium",8,8
"70f817cd04eb747f93896f3842f2c17b","F","Finance","Low",7,2
"69eb7e4c13ed1c440db9cef9fe3ead43","M","HR","Medium",9,3
"23dfe6cbccf6d745a42fbf9c4433cacd","F","HR","Low",7,3
"495a3246cd991ed70465baaab39bf39a","M","Finance","Medium",7,7
"8ec43e2ee21eb076ee21572b5bca664b","M","HR","Low",8,7
"d583c1692cf7f6ca5ff4a4764b50f632","F","Finance","Low",7,2
"5baf27b7e4bd54da441405b4206d8ec7","M","HR","Low",8,7
"464d0866a59b48267d2703f1d91c39f8","M","R&D","Low",2,7
"7a200dd9eee85890916ee8ee1ad66940","F","Finance","Low",8,2
"f9e8aa086bb623d6696f2c6b7f3916e9","M","Sales/Marketing","Low",7,2
"af187b61e7f5ca7c1fdbc1b191dfad5c","M","Finance","Low",8,5
"092ccfd329c0a7baa8c3e98abdfc77b0","M","Strategy & Operations","Low",7,2
"2af50f2ef27c9115647d0244ea7546f1","M","Finance","Low",7,8
"d1d3c973c708038a0dde23d4769781ba","M","Finance","Medium",7,2
"9f1dfdbbe863bb1324e7291b30c5a1f2","M","HR","Low",7,1
"192fa142d8a965f1da41f3f7b33cdff5","M","Strategy & Operations","Low",9,3
"ca064684ec08a1efd9b6bfaff161c10a","M","Finance","Low",6,2
"3b9fb6353ddf2f9f83f250e9d139c737","M","HR","Medium",8,8
"722d817cf57aa3e6f0be49af10ff392e","M","R&D","High",8,3
"2814c6c121e34e152f7b56ad5036e011","M","HR","Low",8,2
"4943402f5919c187eaa9deb8e29a95ae","M","Sales/Marketing","Low",8,3
"f7fce07d26a6ed7526ee094974174a87","F","Finance","Medium",8,2
"13ec146400e99490121cf60b67c478c4","M","Sales/Marketing","Medium",8,9
"56cf2c6f53b625e5342d859c0746d44e","M","HR","Medium",8,6
"4f748ae1225435ad7cc4eb4c1e7d66f2","M","Sales/Marketing","Medium",8,7
"4aaf11d467c436f6de13d9fb0acc8d9b","M","Sales/Marketing","Low",10,3
"5e25cfcfe8709c4cf1d8e22adb0e06b7","M","HR","Low",7,4
"91ca38837bb95d1438db90aa017a92b2","M","IT","Low",7,2
"0b7e8d419646f376d880ade2be60478e","M","R&D","Low",8,3
"ef6f92f93470199a0f3409d496759542","M","IT","Low",4,7
"ac45b2fffdb985900fd065002822581b","M","Sales/Marketing","Low",8,3
"6fa98a2c62dc4d136532246a66b47a88","M","Finance","Low",7,7
"8e8f862436fddc1b038367b442f66b48","F","HR","Low",7,4
"b979483fcdcae57e4d9c8d1993e65bfa","M","Sales/Marketing","Low",9,6
"5915f6434f99b4b32d348ee7e3f6b11b","M","Finance","Medium",2,7
"2d6afeae312c2c8fcaf351e83724e5dd","M","HR","Low",10,1
"7372a518f5c85d361b5fe34a86fa6966","M","R&D","Low",9,3
"f5b36fe09ea5268025ca2801ec0a233a","F","HR","Low",8,2
"8dc1089a5189b8def2143932e4288705","F","HR","High",8,7
"846e8ec8d61b1516356f6afcd53a368f","M","Finance","Medium",10,3
"1a7a8796398349b05adff6a8ef7e7ee5","M","Finance","Low",8,3
"00816724aa9d05d0a26f4e467d460c4e","M","Sales/Marketing","High",8,2
"ae55b000d861a0f1ba2b12684a7db380","M","R&D","Low",7,4
"5e5dc5929291d56fcef776d640db1f03","M","Finance","Medium",8,2
"b69a88ffdbddaaabd74d8da648378936","M","R&D","Low",7,3
"72960ec86d8874b7e88b1e173ab4778c","M","Finance","Low",4,7
"49a7672b1da572af3f9ce3abf32fa15c","M","Sales/Marketing","Low",1,7
"9908f1b4d3244602aded00d3960b5766","F","Finance","Low",7,4
"7be3462215ecbe0cfa79916caf12e394","M","HR","Low",7,8
"ae415560a157fa4a94928dd18e78107c","M","Finance","Low",7,8
"4d98758f6c4e9f9251b0bc11425f0690","M","HR","Low",8,1
"153291b11d2f7611cf3f927103da863b","M","IT","Low",8,6
