"promoted","sales","customer_rate","performance"
0,357,2.72,1
0,432,3.8,3
0,584,3.78,2
1,595,3.74,2
0,401,2.86,3
0,460,4.45,2
1,753,4.89,2
0,466,5,2
0,362,2.26,2
0,361,2.66,2
0,338,4.03,3
1,882,2.63,3
0,293,3.51,2
1,922,4.15,1
1,793,4.08,2
1,787,2.56,3
0,400,3.34,2
0,516,5,4
0,295,3.87,2
0,307,1,1
0,151,2.31,2
0,441,3.34,2
0,406,3.25,1
0,270,4.1,2
1,680,3.09,4
1,662,4.77,2
0,347,3.62,3
0,453,4.86,1
0,309,3,1
0,592,4.79,2
0,540,3.41,4
1,886,4.68,3
0,420,5,4
1,718,4.03,4
0,284,3.69,2
0,323,1.85,3
0,513,4.2,3
1,841,5,4
0,362,2.38,1
1,842,3.99,3
0,321,3.25,1
0,516,2.89,3
0,428,3.28,4
0,383,2.98,3
1,521,3.23,1
0,358,3.09,2
0,489,3.41,3
0,252,1.69,2
1,720,3.76,3
1,610,2.75,4
1,871,5,2
0,594,4.75,3
0,522,4.59,2
0,379,1.83,3
0,454,4.29,2
0,450,3.69,2
0,317,2.66,2
1,835,3.9,1
0,297,2.61,4
0,516,3.9,3
0,355,3.41,2
1,858,3.67,3
0,305,1.99,3
0,410,1.37,3
1,707,2.38,1
1,798,4.72,3
0,265,3.48,2
1,576,3.6,3
0,448,3.18,1
0,590,4.77,3
0,456,4.03,3
1,930,4.22,4
0,412,4.1,2
0,286,3.64,1
0,440,2.29,1
0,546,3.55,1
0,385,2.66,3
0,544,3.48,1
0,505,2.89,1
1,732,3.57,2
0,506,4.36,3
0,394,2.79,4
1,674,3.6,2
0,458,3.39,4
0,251,3.32,2
0,429,3.41,1
0,348,3.69,3
1,789,3.71,3
1,795,4.31,1
0,509,4.61,3
1,754,4.33,4
0,580,4.7,1
0,289,3.57,3
0,390,2.01,3
1,787,3.14,1
0,241,3.05,2
0,522,4.72,2
0,412,5,2
0,359,5,2
0,489,4.86,3
1,940,5,4
0,592,4.38,4
1,796,5,3
1,653,5,3
0,459,2.82,3
0,586,3.41,2
0,401,1.6,3
0,500,4.17,2
0,373,2.54,1
0,NA,NA,NA
